peak.id	seqnames	start	end	summit	width	strand
peak.111	chr1	58621329.0	58621462.0	58621396.0	134.0	+
peak.112	chr1	58713914.0	58714047.0	58713981.0	134.0	+
peak.113	chr1	58723181.0	58723314.0	58723248.0	134.0	+
peak.114	chr1	58880924.0	58881057.0	58880991.0	134.0	+
peak.115	chr1	58961623.0	58961756.0	58961690.0	134.0	+
peak.116	chr1	58970092.0	58970225.0	58970159.0	134.0	+
peak.117	chr1	58972998.0	58973131.0	58973065.0	134.0	+
peak.118	chr1	59117585.0	59117718.0	59117652.0	134.0	+
peak.119	chr1	59161602.0	59161735.0	59161669.0	134.0	+
peak.120	chr1	59163616.0	59163749.0	59163683.0	134.0	+
peak.121	chr1	59208019.0	59208152.0	59208086.0	134.0	+
peak.122	chr1	59425329.0	59425462.0	59425396.0	134.0	+
peak.123	chr1	59684838.0	59684971.0	59684905.0	134.0	+
peak.124	chr1	60097949.0	60098082.0	60098016.0	134.0	+
peak.125	chr1	60100232.0	60100365.0	60100299.0	134.0	+
peak.126	chr1	60130081.0	60130214.0	60130148.0	134.0	+
peak.127	chr1	60273984.0	60274117.0	60274051.0	134.0	+
peak.128	chr1	60569857.0	60569990.0	60569924.0	134.0	+
peak.129	chr1	61140316.0	61140449.0	61140383.0	134.0	+
peak.130	chr1	61229249.0	61229382.0	61229316.0	134.0	+
peak.131	chr1	61265937.0	61266070.0	61266004.0	134.0	+
peak.132	chr1	61298962.0	61299095.0	61299029.0	134.0	+
peak.133	chr1	61332063.0	61332196.0	61332130.0	134.0	+
peak.134	chr1	62370481.0	62370614.0	62370548.0	134.0	+
peak.135	chr1	62984796.0	62984929.0	62984863.0	134.0	+
peak.136	chr1	63089001.0	63089134.0	63089068.0	134.0	+
peak.137	chr1	63294164.0	63294297.0	63294231.0	134.0	+
peak.138	chr1	64078938.0	64079071.0	64079005.0	134.0	+
peak.139	chr1	64298958.0	64299091.0	64299025.0	134.0	+
peak.140	chr1	64547524.0	64547657.0	64547591.0	134.0	+
peak.141	chr1	64568248.0	64568381.0	64568315.0	134.0	+
peak.142	chr1	64570754.0	64570887.0	64570821.0	134.0	+
peak.143	chr1	64690605.0	64690738.0	64690672.0	134.0	+
peak.144	chr1	64804311.0	64804444.0	64804378.0	134.0	+
peak.145	chr1	65035487.0	65035620.0	65035554.0	134.0	+
peak.146	chr1	65111394.0	65111527.0	65111461.0	134.0	+
peak.147	chr1	65178894.0	65179027.0	65178961.0	134.0	+
peak.148	chr1	65180051.0	65180184.0	65180118.0	134.0	+
peak.149	chr1	65186429.0	65186562.0	65186496.0	134.0	+
peak.150	chr1	65394521.0	65394654.0	65394588.0	134.0	+
peak.151	chr1	66115483.0	66115616.0	66115550.0	134.0	+
peak.152	chr1	66321619.0	66321752.0	66321686.0	134.0	+
peak.153	chr1	66339828.0	66339961.0	66339895.0	134.0	+
peak.154	chr1	66364503.0	66364636.0	66364570.0	134.0	+
peak.155	chr1	66402769.0	66402902.0	66402836.0	134.0	+
peak.156	chr1	66633596.0	66633729.0	66633663.0	134.0	+
peak.157	chr1	66686520.0	66686653.0	66686587.0	134.0	+
peak.158	chr1	66782542.0	66782675.0	66782609.0	134.0	+
peak.159	chr1	66831349.0	66831482.0	66831416.0	134.0	+
peak.160	chr1	69296929.0	69297062.0	69296996.0	134.0	+
peak.161	chr1	69687017.0	69687150.0	69687084.0	134.0	+
peak.162	chr1	71641591.0	71641724.0	71641658.0	134.0	+
peak.163	chr1	71945795.0	71945928.0	71945862.0	134.0	+
peak.164	chr1	72136232.0	72136365.0	72136299.0	134.0	+
peak.165	chr1	72182654.0	72182787.0	72182721.0	134.0	+
peak.166	chr1	72391712.0	72391845.0	72391779.0	134.0	+
peak.167	chr1	72454850.0	72454983.0	72454917.0	134.0	+
peak.168	chr1	72490101.0	72490234.0	72490168.0	134.0	+
peak.169	chr1	72504684.0	72504817.0	72504751.0	134.0	+
peak.170	chr1	72583141.0	72583274.0	72583208.0	134.0	+
peak.171	chr1	72748662.0	72748795.0	72748729.0	134.0	+
peak.172	chr1	72764408.0	72764541.0	72764475.0	134.0	+
peak.173	chr1	73169539.0	73169672.0	73169606.0	134.0	+
peak.174	chr1	73826318.0	73826451.0	73826385.0	134.0	+
peak.175	chr1	74284793.0	74284926.0	74284860.0	134.0	+
peak.176	chr1	74295537.0	74295670.0	74295604.0	134.0	+
peak.177	chr1	74386975.0	74387108.0	74387042.0	134.0	+
peak.178	chr1	74437844.0	74437977.0	74437911.0	134.0	+
peak.179	chr1	74588129.0	74588262.0	74588196.0	134.0	+
peak.180	chr1	74706192.0	74706325.0	74706259.0	134.0	+
peak.181	chr1	74773193.0	74773326.0	74773260.0	134.0	+
peak.182	chr1	74816909.0	74817042.0	74816976.0	134.0	+
peak.183	chr1	74848758.0	74848891.0	74848825.0	134.0	+
peak.184	chr1	74851119.0	74851252.0	74851186.0	134.0	+
peak.185	chr1	74859022.0	74859155.0	74859089.0	134.0	+
peak.186	chr1	74875498.0	74875631.0	74875565.0	134.0	+
peak.187	chr1	75126992.0	75127125.0	75127059.0	134.0	+
peak.188	chr1	75239954.0	75240087.0	75240021.0	134.0	+
peak.189	chr1	75317755.0	75317888.0	75317822.0	134.0	+
peak.190	chr1	75405676.0	75405809.0	75405743.0	134.0	+
peak.191	chr1	75463893.0	75464026.0	75463960.0	134.0	+
peak.192	chr1	75521392.0	75521525.0	75521459.0	134.0	+
peak.193	chr1	75909492.0	75909625.0	75909559.0	134.0	+
peak.194	chr1	76104451.0	76104584.0	76104518.0	134.0	+
peak.195	chr1	76118945.0	76119078.0	76119012.0	134.0	+
peak.196	chr1	76166640.0	76166773.0	76166707.0	134.0	+
peak.197	chr1	76453330.0	76453463.0	76453397.0	134.0	+
peak.198	chr1	76849542.0	76849675.0	76849609.0	134.0	+
peak.199	chr1	77083031.0	77083164.0	77083098.0	134.0	+
peak.200	chr1	77102014.0	77102147.0	77102081.0	134.0	+
peak.201	chr1	77380296.0	77380429.0	77380363.0	134.0	+
peak.202	chr1	77456826.0	77456959.0	77456893.0	134.0	+
peak.203	chr1	77506398.0	77506531.0	77506465.0	134.0	+
peak.204	chr1	77532381.0	77532514.0	77532448.0	134.0	+
peak.205	chr1	77660595.0	77660728.0	77660662.0	134.0	+
peak.206	chr1	77662891.0	77663024.0	77662958.0	134.0	+
peak.207	chr1	77673490.0	77673623.0	77673557.0	134.0	+
peak.208	chr1	78284194.0	78284327.0	78284261.0	134.0	+
peak.209	chr1	78489059.0	78489192.0	78489126.0	134.0	+
peak.210	chr1	78567560.0	78567693.0	78567627.0	134.0	+
peak.211	chr1	78655708.0	78655841.0	78655775.0	134.0	+
peak.212	chr1	79379717.0	79379850.0	79379784.0	134.0	+
peak.213	chr1	80208915.0	80209048.0	80208982.0	134.0	+
peak.214	chr1	80256803.0	80256936.0	80256870.0	134.0	+
peak.215	chr1	80404136.0	80404269.0	80404203.0	134.0	+
peak.216	chr1	80413828.0	80413961.0	80413895.0	134.0	+
peak.217	chr1	80424784.0	80424917.0	80424851.0	134.0	+
peak.218	chr1	80427637.0	80427770.0	80427704.0	134.0	+
peak.219	chr1	81163797.0	81163930.0	81163864.0	134.0	+
peak.220	chr1	81327755.0	81327888.0	81327822.0	134.0	+
peak.221	chr1	82066337.0	82066470.0	82066404.0	134.0	+
peak.222	chr1	82191783.0	82191916.0	82191850.0	134.0	+
peak.223	chr1	82746581.0	82746714.0	82746648.0	134.0	+
peak.224	chr1	83345210.0	83345343.0	83345277.0	134.0	+
peak.225	chr1	83348105.0	83348238.0	83348172.0	134.0	+
peak.226	chr1	83397657.0	83397790.0	83397724.0	134.0	+
peak.227	chr1	83662242.0	83662375.0	83662309.0	134.0	+
peak.228	chr1	84286640.0	84286773.0	84286707.0	134.0	+
peak.229	chr1	84387643.0	84387776.0	84387710.0	134.0	+
peak.230	chr1	84416216.0	84416349.0	84416283.0	134.0	+
peak.231	chr1	84549862.0	84549995.0	84549929.0	134.0	+
peak.232	chr1	84838207.0	84838340.0	84838274.0	134.0	+
peak.233	chr1	84840155.0	84840288.0	84840222.0	134.0	+
peak.234	chr1	84850081.0	84850214.0	84850148.0	134.0	+
peak.235	chr1	86064296.0	86064429.0	86064363.0	134.0	+
peak.236	chr1	86070220.0	86070353.0	86070287.0	134.0	+
peak.237	chr1	86141220.0	86141353.0	86141287.0	134.0	+
peak.238	chr1	86156729.0	86156862.0	86156796.0	134.0	+
peak.239	chr1	86359410.0	86359543.0	86359477.0	134.0	+
peak.240	chr1	86487445.0	86487578.0	86487512.0	134.0	+
peak.241	chr1	86525330.0	86525463.0	86525397.0	134.0	+
peak.242	chr1	86526483.0	86526616.0	86526550.0	134.0	+
peak.243	chr1	86535828.0	86535961.0	86535895.0	134.0	+
peak.244	chr1	86551965.0	86552098.0	86552032.0	134.0	+
peak.245	chr1	86561920.0	86562053.0	86561987.0	134.0	+
peak.246	chr1	86576875.0	86577008.0	86576942.0	134.0	+
peak.247	chr1	87433010.0	87433143.0	87433077.0	134.0	+
peak.248	chr1	87574416.0	87574549.0	87574483.0	134.0	+
peak.249	chr1	87583207.0	87583340.0	87583274.0	134.0	+
peak.250	chr1	87586029.0	87586162.0	87586096.0	134.0	+
peak.251	chr1	87711008.0	87711141.0	87711075.0	134.0	+
peak.252	chr1	88969109.0	88969242.0	88969176.0	134.0	+
peak.253	chr1	89070011.0	89070144.0	89070078.0	134.0	+
peak.254	chr1	89332469.0	89332602.0	89332536.0	134.0	+
peak.255	chr1	89465072.0	89465205.0	89465139.0	134.0	+
peak.256	chr1	89504277.0	89504410.0	89504344.0	134.0	+
peak.257	chr1	89576758.0	89576891.0	89576825.0	134.0	+
peak.258	chr1	89751076.0	89751209.0	89751143.0	134.0	+
peak.259	chr1	89885842.0	89885975.0	89885909.0	134.0	+
peak.260	chr1	89893458.0	89893591.0	89893525.0	134.0	+
peak.261	chr1	89898463.0	89898596.0	89898530.0	134.0	+
peak.262	chr1	89918350.0	89918483.0	89918417.0	134.0	+
peak.263	chr1	89922951.0	89923084.0	89923018.0	134.0	+
peak.264	chr1	90015718.0	90015851.0	90015785.0	134.0	+
peak.265	chr1	90353294.0	90353427.0	90353361.0	134.0	+
peak.266	chr1	90734049.0	90734182.0	90734116.0	134.0	+
peak.267	chr1	91404470.0	91404603.0	91404537.0	134.0	+
peak.268	chr1	91540459.0	91540592.0	91540526.0	134.0	+
peak.269	chr1	92174587.0	92174720.0	92174654.0	134.0	+
peak.270	chr1	92180488.0	92180621.0	92180555.0	134.0	+
peak.271	chr1	92642010.0	92642143.0	92642077.0	134.0	+
peak.272	chr1	92906623.0	92906756.0	92906690.0	134.0	+
peak.273	chr1	93300353.0	93300486.0	93300420.0	134.0	+
peak.274	chr1	93333806.0	93333939.0	93333873.0	134.0	+
peak.275	chr1	93478423.0	93478556.0	93478490.0	134.0	+
peak.276	chr1	93523164.0	93523297.0	93523231.0	134.0	+
peak.277	chr1	93620977.0	93621110.0	93621044.0	134.0	+
peak.278	chr1	93634748.0	93634881.0	93634815.0	134.0	+
peak.279	chr1	93635731.0	93635864.0	93635798.0	134.0	+
peak.280	chr1	93670084.0	93670217.0	93670151.0	134.0	+
peak.281	chr1	93731964.0	93732097.0	93732031.0	134.0	+
peak.282	chr1	93760286.0	93760419.0	93760353.0	134.0	+
peak.283	chr1	94089283.0	94089416.0	94089350.0	134.0	+
peak.284	chr1	97638327.0	97638460.0	97638394.0	134.0	+
peak.285	chr1	97644561.0	97644694.0	97644628.0	134.0	+
peak.286	chr1	104763486.0	104763619.0	104763553.0	134.0	+
peak.287	chr1	104957122.0	104957255.0	104957189.0	134.0	+
peak.288	chr1	105679469.0	105679602.0	105679536.0	134.0	+
peak.289	chr1	106008281.0	106008414.0	106008348.0	134.0	+
peak.290	chr1	106663511.0	106663644.0	106663578.0	134.0	+
peak.291	chr1	106696549.0	106696682.0	106696616.0	134.0	+
peak.292	chr1	106745222.0	106745355.0	106745289.0	134.0	+
peak.293	chr1	106774953.0	106775086.0	106775020.0	134.0	+
peak.294	chr1	118321658.0	118321791.0	118321725.0	134.0	+
peak.295	chr1	118389282.0	118389415.0	118389349.0	134.0	+
peak.296	chr1	118459162.0	118459295.0	118459229.0	134.0	+
peak.297	chr1	118482570.0	118482703.0	118482637.0	134.0	+
peak.298	chr1	119621609.0	119621742.0	119621676.0	134.0	+
peak.299	chr1	119646466.0	119646599.0	119646533.0	134.0	+
peak.300	chr1	119648976.0	119649109.0	119649043.0	134.0	+
peak.301	chr1	119761626.0	119761759.0	119761693.0	134.0	+
peak.302	chr1	119762725.0	119762858.0	119762792.0	134.0	+
peak.303	chr1	119837619.0	119837752.0	119837686.0	134.0	+
peak.304	chr1	120247591.0	120247724.0	120247658.0	134.0	+
peak.305	chr1	120961980.0	120962113.0	120962047.0	134.0	+
peak.306	chr1	125100723.0	125100856.0	125100790.0	134.0	+
peak.307	chr1	125337502.0	125337635.0	125337569.0	134.0	+
peak.308	chr1	126155903.0	126156036.0	126155970.0	134.0	+
peak.309	chr1	126431154.0	126431287.0	126431221.0	134.0	+
peak.310	chr1	126677982.0	126678115.0	126678049.0	134.0	+
peak.311	chr1	126681841.0	126681974.0	126681908.0	134.0	+
peak.312	chr1	126765473.0	126765606.0	126765540.0	134.0	+
peak.313	chr1	127015348.0	127015481.0	127015415.0	134.0	+
peak.314	chr1	127854346.0	127854479.0	127854413.0	134.0	+
peak.315	chr1	128102752.0	128102885.0	128102819.0	134.0	+
peak.316	chr1	128160337.0	128160470.0	128160404.0	134.0	+
peak.317	chr1	128244073.0	128244206.0	128244140.0	134.0	+
peak.318	chr1	128622050.0	128622183.0	128622117.0	134.0	+
peak.319	chr1	128907820.0	128907953.0	128907887.0	134.0	+
peak.320	chr1	128990837.0	128990970.0	128990904.0	134.0	+
peak.321	chr1	129538625.0	129538758.0	129538692.0	134.0	+
peak.322	chr1	129779497.0	129779630.0	129779564.0	134.0	+
peak.323	chr1	130702049.0	130702182.0	130702116.0	134.0	+
peak.324	chr1	130712435.0	130712568.0	130712502.0	134.0	+
peak.325	chr1	130715884.0	130716017.0	130715951.0	134.0	+
peak.326	chr1	130798858.0	130798991.0	130798925.0	134.0	+
peak.327	chr1	131031622.0	131031755.0	131031689.0	134.0	+
peak.328	chr1	131078820.0	131078953.0	131078887.0	134.0	+
peak.329	chr1	131116056.0	131116189.0	131116123.0	134.0	+
peak.330	chr1	131185385.0	131185518.0	131185452.0	134.0	+
peak.331	chr1	131417899.0	131418032.0	131417966.0	134.0	+
peak.332	chr1	131527659.0	131527792.0	131527726.0	134.0	+
peak.333	chr1	131910314.0	131910447.0	131910381.0	134.0	+
peak.334	chr1	132009143.0	132009276.0	132009210.0	134.0	+
peak.335	chr1	132292907.0	132293040.0	132292974.0	134.0	+
peak.336	chr1	132302242.0	132302375.0	132302309.0	134.0	+
peak.337	chr1	132367040.0	132367173.0	132367107.0	134.0	+
peak.338	chr1	132414141.0	132414274.0	132414208.0	134.0	+
peak.339	chr1	132477237.0	132477370.0	132477304.0	134.0	+
peak.340	chr1	132582085.0	132582218.0	132582152.0	134.0	+
peak.341	chr1	132601161.0	132601294.0	132601228.0	134.0	+
peak.342	chr1	132721405.0	132721538.0	132721472.0	134.0	+
peak.343	chr1	132820242.0	132820375.0	132820309.0	134.0	+
peak.344	chr1	132876683.0	132876816.0	132876750.0	134.0	+
peak.345	chr1	133042658.0	133042791.0	133042725.0	134.0	+
peak.346	chr1	133181205.0	133181338.0	133181272.0	134.0	+
peak.347	chr1	133238984.0	133239117.0	133239051.0	134.0	+
peak.348	chr1	133617097.0	133617230.0	133617164.0	134.0	+
peak.349	chr1	133648161.0	133648294.0	133648228.0	134.0	+
peak.350	chr1	133661356.0	133661489.0	133661423.0	134.0	+
peak.351	chr1	133715649.0	133715782.0	133715716.0	134.0	+
peak.352	chr1	134061020.0	134061153.0	134061087.0	134.0	+
peak.353	chr1	134062769.0	134062902.0	134062836.0	134.0	+
peak.354	chr1	134063628.0	134063761.0	134063695.0	134.0	+
peak.355	chr1	134067022.0	134067155.0	134067089.0	134.0	+
peak.356	chr1	134086984.0	134087117.0	134087051.0	134.0	+
peak.357	chr1	134167631.0	134167764.0	134167698.0	134.0	+
peak.358	chr1	134179208.0	134179341.0	134179275.0	134.0	+
peak.359	chr1	134272977.0	134273110.0	134273044.0	134.0	+
peak.360	chr1	134413303.0	134413436.0	134413370.0	134.0	+
peak.361	chr1	134421083.0	134421216.0	134421150.0	134.0	+
peak.362	chr1	134439696.0	134439829.0	134439763.0	134.0	+
peak.363	chr1	134503141.0	134503274.0	134503208.0	134.0	+
peak.364	chr1	134558614.0	134558747.0	134558681.0	134.0	+
peak.365	chr1	134567643.0	134567776.0	134567710.0	134.0	+
peak.366	chr1	134778113.0	134778246.0	134778180.0	134.0	+
peak.367	chr1	134796582.0	134796715.0	134796649.0	134.0	+
peak.368	chr1	134799958.0	134800091.0	134800025.0	134.0	+
peak.369	chr1	134860635.0	134860768.0	134860702.0	134.0	+
peak.370	chr1	134865606.0	134865739.0	134865673.0	134.0	+
peak.371	chr1	134956059.0	134956192.0	134956126.0	134.0	+
peak.372	chr1	135076184.0	135076317.0	135076251.0	134.0	+
peak.373	chr1	135106134.0	135106267.0	135106201.0	134.0	+
peak.374	chr1	135210397.0	135210530.0	135210464.0	134.0	+
peak.375	chr1	135330707.0	135330840.0	135330774.0	134.0	+
peak.376	chr1	135373363.0	135373496.0	135373430.0	134.0	+
peak.377	chr1	135524557.0	135524690.0	135524624.0	134.0	+
peak.378	chr1	135595360.0	135595493.0	135595427.0	134.0	+
peak.379	chr1	135615836.0	135615969.0	135615903.0	134.0	+
peak.380	chr1	135627883.0	135628016.0	135627950.0	134.0	+
peak.381	chr1	136007289.0	136007422.0	136007356.0	134.0	+
peak.382	chr1	136017794.0	136017927.0	136017861.0	134.0	+
peak.383	chr1	136033058.0	136033191.0	136033125.0	134.0	+
peak.384	chr1	136129111.0	136129244.0	136129178.0	134.0	+
peak.385	chr1	136132840.0	136132973.0	136132907.0	134.0	+
peak.386	chr1	136140316.0	136140449.0	136140383.0	134.0	+
peak.387	chr1	136193697.0	136193830.0	136193764.0	134.0	+
peak.388	chr1	136237971.0	136238104.0	136238038.0	134.0	+
peak.389	chr1	136279433.0	136279566.0	136279500.0	134.0	+
peak.390	chr1	136354788.0	136354921.0	136354855.0	134.0	+
peak.391	chr1	136417646.0	136417779.0	136417713.0	134.0	+
peak.392	chr1	136463562.0	136463695.0	136463629.0	134.0	+
peak.393	chr1	136524978.0	136525111.0	136525045.0	134.0	+
peak.394	chr1	136563268.0	136563401.0	136563335.0	134.0	+
peak.395	chr1	136643638.0	136643771.0	136643705.0	134.0	+
peak.396	chr1	137225649.0	137225782.0	137225716.0	134.0	+
peak.397	chr1	137657364.0	137657497.0	137657431.0	134.0	+
peak.398	chr1	137926458.0	137926591.0	137926525.0	134.0	+
peak.399	chr1	137973036.0	137973169.0	137973103.0	134.0	+
peak.400	chr1	138594111.0	138594244.0	138594178.0	134.0	+
peak.401	chr1	138622559.0	138622692.0	138622626.0	134.0	+
peak.402	chr1	138662551.0	138662684.0	138662618.0	134.0	+
peak.403	chr1	139079589.0	139079722.0	139079656.0	134.0	+
peak.404	chr1	139254782.0	139254915.0	139254849.0	134.0	+
peak.405	chr1	139255691.0	139255824.0	139255758.0	134.0	+
peak.406	chr1	143739297.0	143739430.0	143739364.0	134.0	+
peak.407	chr1	143766797.0	143766930.0	143766864.0	134.0	+
peak.408	chr1	149896693.0	149896826.0	149896760.0	134.0	+
peak.409	chr1	150312900.0	150313033.0	150312967.0	134.0	+
peak.410	chr1	150314532.0	150314665.0	150314599.0	134.0	+
peak.411	chr1	150319306.0	150319439.0	150319373.0	134.0	+
peak.412	chr1	150322320.0	150322453.0	150322387.0	134.0	+
peak.413	chr1	150329678.0	150329811.0	150329745.0	134.0	+
peak.414	chr1	150393063.0	150393196.0	150393130.0	134.0	+
peak.415	chr1	150432487.0	150432620.0	150432554.0	134.0	+
peak.416	chr1	151347273.0	151347406.0	151347340.0	134.0	+
peak.417	chr1	151357559.0	151357692.0	151357626.0	134.0	+
peak.418	chr1	151428427.0	151428560.0	151428494.0	134.0	+
peak.419	chr1	151755104.0	151755237.0	151755171.0	134.0	+
peak.420	chr1	151919311.0	151919444.0	151919378.0	134.0	+
peak.421	chr1	152290494.0	152290627.0	152290561.0	134.0	+
peak.422	chr1	152428238.0	152428371.0	152428305.0	134.0	+
