chip.peak.id	seqnames	cre.start	cre.end	summit	width	start	end	peak.id
peak.98	chr1	54438578	54438711	54438645	134	54438445	54438845	peak.98
peak.99	chr1	54859993	54860126	54860060	134	54859860	54860260	peak.99
peak.100	chr1	55002401	55002534	55002468	134	55002268	55002668	peak.100
peak.101	chr1	55052658	55052791	55052725	134	55052525	55052925	peak.101
peak.102	chr1	55501287	55501420	55501354	134	55501154	55501554	peak.102
peak.103	chr1	55700934	55701067	55701001	134	55700801	55701201	peak.103
peak.104	chr1	55888772	55888905	55888839	134	55888639	55889039	peak.104
peak.105	chr1	56973409	56973542	56973476	134	56973276	56973676	peak.105
peak.106	chr1	58203971	58204104	58204038	134	58203838	58204238	peak.106
peak.107	chr1	58394710	58394843	58394777	134	58394577	58394977	peak.107
peak.108	chr1	58586347	58586480	58586414	134	58586214	58586614	peak.108
peak.109	chr1	58600581	58600714	58600648	134	58600448	58600848	peak.109
peak.110	chr1	58602604	58602737	58602671	134	58602471	58602871	peak.110
peak.111	chr1	58621329	58621462	58621396	134	58621196	58621596	peak.111
peak.112	chr1	58713914	58714047	58713981	134	58713781	58714181	peak.112
peak.113	chr1	58723181	58723314	58723248	134	58723048	58723448	peak.113
peak.114	chr1	58880924	58881057	58880991	134	58880791	58881191	peak.114
peak.115	chr1	58961623	58961756	58961690	134	58961490	58961890	peak.115
peak.116	chr1	58970092	58970225	58970159	134	58969959	58970359	peak.116
peak.117	chr1	58972998	58973131	58973065	134	58972865	58973265	peak.117
peak.118	chr1	59117585	59117718	59117652	134	59117452	59117852	peak.118
peak.119	chr1	59161602	59161735	59161669	134	59161469	59161869	peak.119
peak.120	chr1	59163616	59163749	59163683	134	59163483	59163883	peak.120
peak.121	chr1	59208019	59208152	59208086	134	59207886	59208286	peak.121
peak.122	chr1	59425329	59425462	59425396	134	59425196	59425596	peak.122
peak.123	chr1	59684838	59684971	59684905	134	59684705	59685105	peak.123
peak.124	chr1	60097949	60098082	60098016	134	60097816	60098216	peak.124
peak.125	chr1	60100232	60100365	60100299	134	60100099	60100499	peak.125
peak.126	chr1	60130081	60130214	60130148	134	60129948	60130348	peak.126
peak.127	chr1	60273984	60274117	60274051	134	60273851	60274251	peak.127
peak.128	chr1	60569857	60569990	60569924	134	60569724	60570124	peak.128
peak.129	chr1	61140316	61140449	61140383	134	61140183	61140583	peak.129
peak.130	chr1	61229249	61229382	61229316	134	61229116	61229516	peak.130
peak.131	chr1	61265937	61266070	61266004	134	61265804	61266204	peak.131
peak.132	chr1	61298962	61299095	61299029	134	61298829	61299229	peak.132
peak.133	chr1	61332063	61332196	61332130	134	61331930	61332330	peak.133
peak.134	chr1	62370481	62370614	62370548	134	62370348	62370748	peak.134
peak.135	chr1	62984796	62984929	62984863	134	62984663	62985063	peak.135
peak.136	chr1	63089001	63089134	63089068	134	63088868	63089268	peak.136
peak.137	chr1	63294164	63294297	63294231	134	63294031	63294431	peak.137
peak.138	chr1	64078938	64079071	64079005	134	64078805	64079205	peak.138
peak.139	chr1	64298958	64299091	64299025	134	64298825	64299225	peak.139
peak.140	chr1	64547524	64547657	64547591	134	64547391	64547791	peak.140
peak.141	chr1	64568248	64568381	64568315	134	64568115	64568515	peak.141
peak.142	chr1	64570754	64570887	64570821	134	64570621	64571021	peak.142
peak.143	chr1	64690605	64690738	64690672	134	64690472	64690872	peak.143
peak.144	chr1	64804311	64804444	64804378	134	64804178	64804578	peak.144
peak.145	chr1	65035487	65035620	65035554	134	65035354	65035754	peak.145
peak.146	chr1	65111394	65111527	65111461	134	65111261	65111661	peak.146
peak.147	chr1	65178894	65179027	65178961	134	65178761	65179161	peak.147
peak.148	chr1	65180051	65180184	65180118	134	65179918	65180318	peak.148
peak.149	chr1	65186429	65186562	65186496	134	65186296	65186696	peak.149
peak.150	chr1	65394521	65394654	65394588	134	65394388	65394788	peak.150
peak.151	chr1	66115483	66115616	66115550	134	66115350	66115750	peak.151
peak.152	chr1	66321619	66321752	66321686	134	66321486	66321886	peak.152
peak.153	chr1	66339828	66339961	66339895	134	66339695	66340095	peak.153
peak.154	chr1	66364503	66364636	66364570	134	66364370	66364770	peak.154
peak.155	chr1	66402769	66402902	66402836	134	66402636	66403036	peak.155
peak.156	chr1	66633596	66633729	66633663	134	66633463	66633863	peak.156
peak.157	chr1	66686520	66686653	66686587	134	66686387	66686787	peak.157
peak.158	chr1	66782542	66782675	66782609	134	66782409	66782809	peak.158
peak.159	chr1	66831349	66831482	66831416	134	66831216	66831616	peak.159
peak.160	chr1	69296929	69297062	69296996	134	69296796	69297196	peak.160
peak.161	chr1	69687017	69687150	69687084	134	69686884	69687284	peak.161
peak.162	chr1	71641591	71641724	71641658	134	71641458	71641858	peak.162
peak.163	chr1	71945795	71945928	71945862	134	71945662	71946062	peak.163
peak.164	chr1	72136232	72136365	72136299	134	72136099	72136499	peak.164
peak.165	chr1	72182654	72182787	72182721	134	72182521	72182921	peak.165
peak.166	chr1	72391712	72391845	72391779	134	72391579	72391979	peak.166
peak.167	chr1	72454850	72454983	72454917	134	72454717	72455117	peak.167
peak.168	chr1	72490101	72490234	72490168	134	72489968	72490368	peak.168
peak.169	chr1	72504684	72504817	72504751	134	72504551	72504951	peak.169
peak.170	chr1	72583141	72583274	72583208	134	72583008	72583408	peak.170
peak.171	chr1	72748662	72748795	72748729	134	72748529	72748929	peak.171
peak.172	chr1	72764408	72764541	72764475	134	72764275	72764675	peak.172
peak.173	chr1	73169539	73169672	73169606	134	73169406	73169806	peak.173
peak.174	chr1	73826318	73826451	73826385	134	73826185	73826585	peak.174
peak.175	chr1	74284793	74284926	74284860	134	74284660	74285060	peak.175
peak.176	chr1	74295537	74295670	74295604	134	74295404	74295804	peak.176
peak.177	chr1	74386975	74387108	74387042	134	74386842	74387242	peak.177
peak.178	chr1	74437844	74437977	74437911	134	74437711	74438111	peak.178
peak.179	chr1	74588129	74588262	74588196	134	74587996	74588396	peak.179
peak.180	chr1	74706192	74706325	74706259	134	74706059	74706459	peak.180
peak.181	chr1	74773193	74773326	74773260	134	74773060	74773460	peak.181
peak.182	chr1	74816909	74817042	74816976	134	74816776	74817176	peak.182
peak.183	chr1	74848758	74848891	74848825	134	74848625	74849025	peak.183
peak.184	chr1	74851119	74851252	74851186	134	74850986	74851386	peak.184
peak.185	chr1	74859022	74859155	74859089	134	74858889	74859289	peak.185
peak.186	chr1	74875498	74875631	74875565	134	74875365	74875765	peak.186
peak.187	chr1	75126992	75127125	75127059	134	75126859	75127259	peak.187
peak.188	chr1	75239954	75240087	75240021	134	75239821	75240221	peak.188
peak.189	chr1	75317755	75317888	75317822	134	75317622	75318022	peak.189
peak.190	chr1	75405676	75405809	75405743	134	75405543	75405943	peak.190
peak.191	chr1	75463893	75464026	75463960	134	75463760	75464160	peak.191
peak.192	chr1	75521392	75521525	75521459	134	75521259	75521659	peak.192
peak.193	chr1	75909492	75909625	75909559	134	75909359	75909759	peak.193
peak.194	chr1	76104451	76104584	76104518	134	76104318	76104718	peak.194
peak.195	chr1	76118945	76119078	76119012	134	76118812	76119212	peak.195
peak.196	chr1	76166640	76166773	76166707	134	76166507	76166907	peak.196
peak.197	chr1	76453330	76453463	76453397	134	76453197	76453597	peak.197
peak.198	chr1	76849542	76849675	76849609	134	76849409	76849809	peak.198
peak.199	chr1	77083031	77083164	77083098	134	77082898	77083298	peak.199
peak.200	chr1	77102014	77102147	77102081	134	77101881	77102281	peak.200
peak.201	chr1	77380296	77380429	77380363	134	77380163	77380563	peak.201
peak.202	chr1	77456826	77456959	77456893	134	77456693	77457093	peak.202
peak.203	chr1	77506398	77506531	77506465	134	77506265	77506665	peak.203
peak.204	chr1	77532381	77532514	77532448	134	77532248	77532648	peak.204
peak.205	chr1	77660595	77660728	77660662	134	77660462	77660862	peak.205
peak.206	chr1	77662891	77663024	77662958	134	77662758	77663158	peak.206
peak.207	chr1	77673490	77673623	77673557	134	77673357	77673757	peak.207
peak.208	chr1	78284194	78284327	78284261	134	78284061	78284461	peak.208
peak.209	chr1	78489059	78489192	78489126	134	78488926	78489326	peak.209
peak.210	chr1	78567560	78567693	78567627	134	78567427	78567827	peak.210
peak.211	chr1	78655708	78655841	78655775	134	78655575	78655975	peak.211
peak.212	chr1	79379717	79379850	79379784	134	79379584	79379984	peak.212
peak.213	chr1	80208915	80209048	80208982	134	80208782	80209182	peak.213
peak.214	chr1	80256803	80256936	80256870	134	80256670	80257070	peak.214
peak.215	chr1	80404136	80404269	80404203	134	80404003	80404403	peak.215
peak.216	chr1	80413828	80413961	80413895	134	80413695	80414095	peak.216
peak.217	chr1	80424784	80424917	80424851	134	80424651	80425051	peak.217
peak.218	chr1	80427637	80427770	80427704	134	80427504	80427904	peak.218
peak.219	chr1	81163797	81163930	81163864	134	81163664	81164064	peak.219
peak.220	chr1	81327755	81327888	81327822	134	81327622	81328022	peak.220
peak.221	chr1	82066337	82066470	82066404	134	82066204	82066604	peak.221
peak.222	chr1	82191783	82191916	82191850	134	82191650	82192050	peak.222
peak.223	chr1	82746581	82746714	82746648	134	82746448	82746848	peak.223
peak.224	chr1	83345210	83345343	83345277	134	83345077	83345477	peak.224
peak.225	chr1	83348105	83348238	83348172	134	83347972	83348372	peak.225
peak.226	chr1	83397657	83397790	83397724	134	83397524	83397924	peak.226
peak.227	chr1	83662242	83662375	83662309	134	83662109	83662509	peak.227
peak.228	chr1	84286640	84286773	84286707	134	84286507	84286907	peak.228
peak.229	chr1	84387643	84387776	84387710	134	84387510	84387910	peak.229
peak.230	chr1	84416216	84416349	84416283	134	84416083	84416483	peak.230
peak.231	chr1	84549862	84549995	84549929	134	84549729	84550129	peak.231
peak.232	chr1	84838207	84838340	84838274	134	84838074	84838474	peak.232
peak.233	chr1	84840155	84840288	84840222	134	84840022	84840422	peak.233
peak.234	chr1	84850081	84850214	84850148	134	84849948	84850348	peak.234
peak.235	chr1	86064296	86064429	86064363	134	86064163	86064563	peak.235
peak.236	chr1	86070220	86070353	86070287	134	86070087	86070487	peak.236
peak.237	chr1	86141220	86141353	86141287	134	86141087	86141487	peak.237
peak.238	chr1	86156729	86156862	86156796	134	86156596	86156996	peak.238
peak.239	chr1	86359410	86359543	86359477	134	86359277	86359677	peak.239
peak.240	chr1	86487445	86487578	86487512	134	86487312	86487712	peak.240
peak.241	chr1	86525330	86525463	86525397	134	86525197	86525597	peak.241
peak.242	chr1	86526483	86526616	86526550	134	86526350	86526750	peak.242
peak.243	chr1	86535828	86535961	86535895	134	86535695	86536095	peak.243
peak.244	chr1	86551965	86552098	86552032	134	86551832	86552232	peak.244
peak.245	chr1	86561920	86562053	86561987	134	86561787	86562187	peak.245
peak.246	chr1	86576875	86577008	86576942	134	86576742	86577142	peak.246
peak.247	chr1	87433010	87433143	87433077	134	87432877	87433277	peak.247
peak.248	chr1	87574416	87574549	87574483	134	87574283	87574683	peak.248
peak.249	chr1	87583207	87583340	87583274	134	87583074	87583474	peak.249
peak.250	chr1	87586029	87586162	87586096	134	87585896	87586296	peak.250
peak.251	chr1	87711008	87711141	87711075	134	87710875	87711275	peak.251
peak.252	chr1	88969109	88969242	88969176	134	88968976	88969376	peak.252
peak.253	chr1	89070011	89070144	89070078	134	89069878	89070278	peak.253
peak.254	chr1	89332469	89332602	89332536	134	89332336	89332736	peak.254
peak.255	chr1	89465072	89465205	89465139	134	89464939	89465339	peak.255
peak.256	chr1	89504277	89504410	89504344	134	89504144	89504544	peak.256
peak.257	chr1	89576758	89576891	89576825	134	89576625	89577025	peak.257
peak.258	chr1	89751076	89751209	89751143	134	89750943	89751343	peak.258
peak.259	chr1	89885842	89885975	89885909	134	89885709	89886109	peak.259
peak.260	chr1	89893458	89893591	89893525	134	89893325	89893725	peak.260
peak.261	chr1	89898463	89898596	89898530	134	89898330	89898730	peak.261
peak.262	chr1	89918350	89918483	89918417	134	89918217	89918617	peak.262
peak.263	chr1	89922951	89923084	89923018	134	89922818	89923218	peak.263
peak.264	chr1	90015718	90015851	90015785	134	90015585	90015985	peak.264
peak.265	chr1	90353294	90353427	90353361	134	90353161	90353561	peak.265
peak.266	chr1	90734049	90734182	90734116	134	90733916	90734316	peak.266
peak.267	chr1	91404470	91404603	91404537	134	91404337	91404737	peak.267
peak.268	chr1	91540459	91540592	91540526	134	91540326	91540726	peak.268
peak.269	chr1	92174587	92174720	92174654	134	92174454	92174854	peak.269
peak.270	chr1	92180488	92180621	92180555	134	92180355	92180755	peak.270
peak.271	chr1	92642010	92642143	92642077	134	92641877	92642277	peak.271
peak.272	chr1	92906623	92906756	92906690	134	92906490	92906890	peak.272
peak.273	chr1	93300353	93300486	93300420	134	93300220	93300620	peak.273
peak.274	chr1	93333806	93333939	93333873	134	93333673	93334073	peak.274
peak.275	chr1	93478423	93478556	93478490	134	93478290	93478690	peak.275
peak.276	chr1	93523164	93523297	93523231	134	93523031	93523431	peak.276
peak.277	chr1	93620977	93621110	93621044	134	93620844	93621244	peak.277
peak.278	chr1	93634748	93634881	93634815	134	93634615	93635015	peak.278
peak.279	chr1	93635731	93635864	93635798	134	93635598	93635998	peak.279
peak.280	chr1	93670084	93670217	93670151	134	93669951	93670351	peak.280
peak.281	chr1	93731964	93732097	93732031	134	93731831	93732231	peak.281
peak.282	chr1	93760286	93760419	93760353	134	93760153	93760553	peak.282
peak.283	chr1	94089283	94089416	94089350	134	94089150	94089550	
peak.284	chr1	97638327	97638460	97638394	134	97638194	97638594	peak.284
peak.285	chr1	97644561	97644694	97644628	134	97644428	97644828	peak.285
peak.286	chr1	104763486	104763619	104763553	134	104763353	104763753	peak.286
peak.287	chr1	104957122	104957255	104957189	134	104956989	104957389	peak.287
peak.288	chr1	105679469	105679602	105679536	134	105679336	105679736	peak.288
peak.289	chr1	106008281	106008414	106008348	134	106008148	106008548	peak.289
peak.290	chr1	106663511	106663644	106663578	134	106663378	106663778	peak.290
peak.291	chr1	106696549	106696682	106696616	134	106696416	106696816	peak.291
peak.292	chr1	106745222	106745355	106745289	134	106745089	106745489	peak.292
peak.293	chr1	106774953	106775086	106775020	134	106774820	106775220	peak.293
peak.294	chr1	118321658	118321791	118321725	134	118321525	118321925	peak.294
peak.295	chr1	118389282	118389415	118389349	134	118389149	118389549	peak.295
peak.296	chr1	118459162	118459295	118459229	134	118459029	118459429	peak.296
peak.297	chr1	118482570	118482703	118482637	134	118482437	118482837	peak.297
peak.298	chr1	119621609	119621742	119621676	134	119621476	119621876	peak.298
peak.299	chr1	119646466	119646599	119646533	134	119646333	119646733	peak.299
peak.300	chr1	119648976	119649109	119649043	134	119648843	119649243	peak.300
peak.301	chr1	119761626	119761759	119761693	134	119761493	119761893	peak.301
peak.302	chr1	119762725	119762858	119762792	134	119762592	119762992	peak.302
peak.303	chr1	119837619	119837752	119837686	134	119837486	119837886	peak.303
peak.304	chr1	120247591	120247724	120247658	134	120247458	120247858	peak.304
peak.305	chr1	120961980	120962113	120962047	134	120961847	120962247	peak.305
peak.306	chr1	125100723	125100856	125100790	134	125100590	125100990	peak.306
peak.307	chr1	125337502	125337635	125337569	134	125337369	125337769	peak.307
peak.308	chr1	126155903	126156036	126155970	134	126155770	126156170	peak.308
peak.309	chr1	126431154	126431287	126431221	134	126431021	126431421	peak.309
peak.310	chr1	126677982	126678115	126678049	134	126677849	126678249	peak.310
peak.311	chr1	126681841	126681974	126681908	134	126681708	126682108	peak.311
peak.312	chr1	126765473	126765606	126765540	134	126765340	126765740	peak.312
peak.313	chr1	127015348	127015481	127015415	134	127015215	127015615	peak.313
peak.314	chr1	127854346	127854479	127854413	134	127854213	127854613	peak.314
peak.315	chr1	128102752	128102885	128102819	134	128102619	128103019	peak.315
peak.316	chr1	128160337	128160470	128160404	134	128160204	128160604	peak.316
peak.317	chr1	128244073	128244206	128244140	134	128243940	128244340	peak.317
peak.318	chr1	128622050	128622183	128622117	134	128621917	128622317	peak.318
peak.319	chr1	128907820	128907953	128907887	134	128907687	128908087	peak.319
peak.320	chr1	128990837	128990970	128990904	134	128990704	128991104	peak.320
peak.321	chr1	129538625	129538758	129538692	134	129538492	129538892	peak.321
peak.322	chr1	129779497	129779630	129779564	134	129779364	129779764	peak.322
peak.323	chr1	130702049	130702182	130702116	134	130701916	130702316	peak.323
peak.324	chr1	130712435	130712568	130712502	134	130712302	130712702	peak.324
peak.325	chr1	130715884	130716017	130715951	134	130715751	130716151	peak.325
peak.326	chr1	130798858	130798991	130798925	134	130798725	130799125	peak.326
peak.327	chr1	131031622	131031755	131031689	134	131031489	131031889	peak.327
peak.328	chr1	131078820	131078953	131078887	134	131078687	131079087	peak.328
peak.329	chr1	131116056	131116189	131116123	134	131115923	131116323	peak.329
peak.330	chr1	131185385	131185518	131185452	134	131185252	131185652	peak.330
peak.331	chr1	131417899	131418032	131417966	134	131417766	131418166	peak.331
peak.332	chr1	131527659	131527792	131527726	134	131527526	131527926	peak.332
peak.333	chr1	131910314	131910447	131910381	134	131910181	131910581	peak.333
peak.334	chr1	132009143	132009276	132009210	134	132009010	132009410	peak.334
peak.335	chr1	132292907	132293040	132292974	134	132292774	132293174	peak.335
peak.336	chr1	132302242	132302375	132302309	134	132302109	132302509	peak.336
peak.337	chr1	132367040	132367173	132367107	134	132366907	132367307	peak.337
peak.338	chr1	132414141	132414274	132414208	134	132414008	132414408	peak.338
peak.339	chr1	132477237	132477370	132477304	134	132477104	132477504	peak.339
peak.340	chr1	132582085	132582218	132582152	134	132581952	132582352	peak.340
peak.341	chr1	132601161	132601294	132601228	134	132601028	132601428	peak.341
peak.342	chr1	132721405	132721538	132721472	134	132721272	132721672	peak.342
peak.343	chr1	132820242	132820375	132820309	134	132820109	132820509	peak.343
peak.344	chr1	132876683	132876816	132876750	134	132876550	132876950	peak.344
peak.345	chr1	133042658	133042791	133042725	134	133042525	133042925	peak.345
peak.346	chr1	133181205	133181338	133181272	134	133181072	133181472	peak.346
peak.347	chr1	133238984	133239117	133239051	134	133238851	133239251	peak.347
peak.348	chr1	133617097	133617230	133617164	134	133616964	133617364	peak.348
peak.349	chr1	133648161	133648294	133648228	134	133648028	133648428	peak.349
peak.350	chr1	133661356	133661489	133661423	134	133661223	133661623	peak.350
peak.351	chr1	133715649	133715782	133715716	134	133715516	133715916	peak.351
peak.352	chr1	134061020	134061153	134061087	134	134060887	134061287	peak.352
peak.353	chr1	134062769	134062902	134062836	134	134062636	134063036	peak.353
peak.354	chr1	134063628	134063761	134063695	134	134063495	134063895	peak.354
peak.355	chr1	134067022	134067155	134067089	134	134066889	134067289	peak.355
peak.356	chr1	134086984	134087117	134087051	134	134086851	134087251	peak.356
peak.357	chr1	134167631	134167764	134167698	134	134167498	134167898	peak.357
peak.358	chr1	134179208	134179341	134179275	134	134179075	134179475	peak.358
peak.359	chr1	134272977	134273110	134273044	134	134272844	134273244	peak.359
peak.360	chr1	134413303	134413436	134413370	134	134413170	134413570	peak.360
peak.361	chr1	134421083	134421216	134421150	134	134420950	134421350	peak.361
peak.362	chr1	134439696	134439829	134439763	134	134439563	134439963	peak.362
peak.363	chr1	134503141	134503274	134503208	134	134503008	134503408	peak.363
peak.364	chr1	134558614	134558747	134558681	134	134558481	134558881	peak.364
peak.365	chr1	134567643	134567776	134567710	134	134567510	134567910	peak.365
peak.366	chr1	134778113	134778246	134778180	134	134777980	134778380	peak.366
peak.367	chr1	134796582	134796715	134796649	134	134796449	134796849	peak.367
peak.368	chr1	134799958	134800091	134800025	134	134799825	134800225	peak.368
peak.369	chr1	134860635	134860768	134860702	134	134860502	134860902	peak.369
peak.370	chr1	134865606	134865739	134865673	134	134865473	134865873	peak.370
peak.371	chr1	134956059	134956192	134956126	134	134955926	134956326	peak.371
peak.372	chr1	135076184	135076317	135076251	134	135076051	135076451	peak.372
peak.373	chr1	135106134	135106267	135106201	134	135106001	135106401	
peak.374	chr1	135210397	135210530	135210464	134	135210264	135210664	peak.374
peak.375	chr1	135330707	135330840	135330774	134	135330574	135330974	peak.375
peak.376	chr1	135373363	135373496	135373430	134	135373230	135373630	peak.376
peak.377	chr1	135524557	135524690	135524624	134	135524424	135524824	peak.377
peak.378	chr1	135595360	135595493	135595427	134	135595227	135595627	peak.378
peak.379	chr1	135615836	135615969	135615903	134	135615703	135616103	peak.379
peak.380	chr1	135627883	135628016	135627950	134	135627750	135628150	peak.380
peak.381	chr1	136007289	136007422	136007356	134	136007156	136007556	peak.381
peak.382	chr1	136017794	136017927	136017861	134	136017661	136018061	peak.382
peak.383	chr1	136033058	136033191	136033125	134	136032925	136033325	peak.383
peak.384	chr1	136129111	136129244	136129178	134	136128978	136129378	peak.384
peak.385	chr1	136132840	136132973	136132907	134	136132707	136133107	peak.385
peak.386	chr1	136140316	136140449	136140383	134	136140183	136140583	peak.386
peak.387	chr1	136193697	136193830	136193764	134	136193564	136193964	peak.387
