peak.id	seqnames	start	end	width	strand	WT	E80A	K88N	R90W	chip.e80a.lfc	chip.e80a.p.value	chip.e80a.fdr	chip.k88n.lfc	chip.k88n.p.value	chip.k88n.fdr	chip.r90w.lfc	chip.r90w.p.value	chip.r90w.fdr
peak.22	chr1	13203753	13204153	401	*	412.7884451	391.9809435	14.4131885	73.52815227	-0.003421001	0.98260927	0.998756873	-4.400373336	1.53E-10	2.76E-08	-2.544405335	1.81E-05	9.53E-05
peak.23	chr1	13372362	13372762	401	*	74.11428901	84.26643471	8.407693293	13.48016125	0.063111909	0.716405082	0.954461893	-2.749238928	0.000329355	0.000822091	-2.457072582	0.000480904	0.001081238
peak.24	chr1	13494995	13495395	401	*	117.2694446	160.9583584	9.608792334	20.83297648	0.15686765	0.407440252	0.773200649	-3.212921387	1.22E-05	6.07E-05	-2.486261766	0.000128758	0.000390003
peak.25	chr1	15805279	15805679	401	*	90.06293348	81.42599309	7.206594251	18.38203807	-0.026322315	0.877886005	0.989496183	-3.198129633	5.58E-05	0.000198137	-2.321947892	0.000663325	0.001392955
peak.26	chr1	16053552	16053952	401	*	154.7956669	48.28750753	6.005495209	24.50938409	-1.110213695	0.010958398	0.076251216	-4.158798594	3.28E-07	4.16E-06	-2.674915993	3.39E-05	0.000145777
peak.27	chr1	16104297	16104697	401	*	103.1971113	98.46864281	10.80989138	14.70563045	-0.004460718	0.977591171	0.998540345	-2.898221666	5.03E-05	0.000182811	-2.805323317	3.35E-05	0.000145072
peak.28	chr1	16108868	16109268	401	*	198.8889781	96.57501506	33.63077317	25.7348533	-0.475724394	0.093777682	0.324427223	-2.284113111	0.000160202	0.000463813	-2.958739245	1.61E-06	1.92E-05
peak.29	chr1	16229526	16229926	401	*	14.07233336	7.574510985	74.46814059	12.25469205	-0.272976199	0.30475906	0.664240983	2.43285868	0.000181175	0.000512443	-0.314221045	0.667821802	0.686033221
peak.30	chr1	16656920	16657320	401	*	74.11428901	88.05369021	10.80989138	17.15656886	0.081167238	0.625354313	0.923238018	-2.46110897	0.000506531	0.001170989	-2.130222215	0.001077284	0.002068318
peak.31	chr1	17100322	17100722	401	*	41.27884451	152.4370336	22.82088179	31.86219932	1.50839563	0.00137111	0.01909066	-0.664180552	0.299620536	0.321657921	-0.545551074	0.375726507	0.397904246
peak.32	chr1	19615829	19616229	401	*	14.07233336	9.468138732	68.46264538	12.25469205	-0.159166878	0.490265418	0.84578054	2.304274854	0.000382234	0.000927246	-0.343067555	0.639018538	0.658439559
peak.33	chr1	19900071	19900471	401	*	46.90777785	80.47917922	18.01648563	13.48016125	0.336689858	0.166640518	0.466517533	-1.159904086	0.074207679	0.088202357	-1.865212712	0.005642879	0.008396003
peak.34	chr1	23825449	23825849	401	*	21.57757781	71.95785436	9.608792334	11.02922284	1.266271282	0.006073812	0.051303881	-0.940868581	0.210083989	0.229939417	-1.064800594	0.142503849	0.159398526
peak.35	chr1	24005550	24005950	401	*	100.3826446	144.8625226	10.80989138	9.803753636	0.195363567	0.319950148	0.685008281	-2.867627938	4.75E-05	0.000174511	-3.253670024	4.67E-06	3.76E-05
peak.36	chr1	24279977	24280377	401	*	119.1457557	185.5755191	16.81538659	19.60750727	0.244928977	0.253256019	0.600437226	-2.525571708	0.000147819	0.000435529	-2.636979218	4.79E-05	0.000187665
peak.37	chr1	24492050	24492450	401	*	166.9916892	209.245866	10.80989138	39.21501455	0.106697514	0.553462753	0.883641837	-3.523361842	1.53E-06	1.25E-05	-2.164062021	0.000617113	0.001316437
peak.38	chr1	24759023	24759423	401	*	43.15515562	65.33015725	10.80989138	18.38203807	0.225084481	0.291921196	0.64818636	-1.714171767	0.017001736	0.023398806	-1.292735489	0.049183266	0.059479689
peak.39	chr1	30833633	30834033	401	*	41.27884451	121.1921758	15.61428754	15.93109966	1.156696475	0.007536381	0.059598405	-1.184220436	0.076243996	0.090349641	-1.422264981	0.030633077	0.03842128
peak.40	chr1	33527499	33527899	401	*	31.89728894	91.8409457	27.62527796	9.803753636	0.9937609	0.018665517	0.109630877	-0.022082676	0.97410015	0.975588538	-1.679181505	0.026196296	0.033328414
peak.41	chr1	33889991	33890391	401	*	6.567088899	5.680883239	64.85934826	8.578284432	-0.044787343	0.854171261	0.983531165	3.210549095	2.19E-05	9.63E-05	0.241370505	0.774273541	0.788876421
peak.42	chr1	34001143	34001543	401	*	93.8155557	121.1921758	8.407693293	41.66595295	0.123974469	0.500670762	0.853402477	-3.080261894	5.38E-05	0.00019251	-1.297914062	0.037417089	0.046170284
peak.43	chr1	34120728	34121128	401	*	70.36166678	72.90466824	21.61978275	18.38203807	0.030147672	0.865565808	0.986054158	-1.428072812	0.038906492	0.049117698	-1.974047728	0.004636659	0.007085426
peak.44	chr1	34124410	34124810	401	*	133.2180891	231.0225851	34.83187221	47.79329898	0.345829889	0.166972913	0.467315023	-1.674094441	0.008139929	0.012166583	-1.613626461	0.008778972	0.01241226
peak.45	chr1	34211742	34212142	401	*	84.43400013	166.6392417	33.63077317	52.6951758	0.453253704	0.119285288	0.380043083	-1.078923831	0.106566776	0.122948197	-0.871498305	0.178120022	0.196573808
peak.46	chr1	34439515	34439915	401	*	218.5902448	216.820377	32.42967413	28.1857917	0.008036709	0.954877255	0.997926674	-2.485555232	2.18E-05	9.61E-05	-2.993704785	4.07E-07	8.71E-06
peak.47	chr1	34706406	34706806	401	*	129.4654669	57.75564626	7.206594251	15.93109966	-0.500544132	0.103166042	0.344540938	-3.669135609	5.63E-06	3.31E-05	-2.863667719	4.58E-05	0.000181156
peak.48	chr1	34739922	34740322	401	*	36.58806672	91.8409457	10.80989138	12.25469205	0.811947123	0.032460824	0.160057584	-1.480140825	0.044138176	0.055078887	-1.599831916	0.024822853	0.031732973
peak.49	chr1	34849335	34849735	401	*	182.0021781	139.1816394	10.80989138	15.93109966	-0.095136442	0.579322032	0.898806739	-3.661853633	3.32E-07	4.19E-06	-3.394387774	3.52E-07	7.82E-06
peak.50	chr1	34851248	34851648	401	*	38.46437784	47.34069366	10.80989138	15.93109966	0.097861786	0.588188946	0.902336358	-1.563426338	0.030716022	0.039679402	-1.402898175	0.039031578	0.047993806
peak.51	chr1	34866817	34867217	401	*	335.8596894	313.395392	26.42417892	56.37158341	-0.010674202	0.947068292	0.997345463	-3.310550589	3.24E-07	4.12E-06	-2.618522832	1.77E-05	9.35E-05
peak.52	chr1	36064931	36065331	401	*	125.7128446	125.9262451	10.80989138	20.83297648	0.011651049	0.941794497	0.996239383	-3.164989373	1.06E-05	5.45E-05	-2.538268502	8.45E-05	0.000284688
peak.53	chr1	36244198	36244598	401	*	62.85642232	72.90466824	4.804396167	11.02922284	0.068244513	0.677872854	0.943530807	-3.239201253	0.000118611	0.000363185	-2.467383337	0.000381346	0.000902089
peak.54	chr1	36476191	36476591	401	*	33.77360005	76.69192373	13.21208946	9.803753636	0.662110532	0.053452921	0.224114764	-1.129159711	0.110719915	0.127230138	-1.840286007	0.012608511	0.017143809
peak.55	chr1	36492459	36492859	401	*	112.5786668	130.6603145	31.22857509	24.50938409	0.069779967	0.682771568	0.943801515	-1.61839694	0.011618727	0.016683997	-2.249100754	0.000535365	0.001175723
peak.56	chr1	36523577	36523977	401	*	47.84593341	81.42599309	12.01099042	12.25469205	0.286705684	0.240658006	0.581649341	-1.6924936	0.023418153	0.031093488	-2.007286401	0.006678514	0.009733642
peak.57	chr1	36547134	36547534	401	*	60.04195565	58.70246014	4.804396167	14.70563045	0.006896389	0.96673486	0.998372598	-3.160793517	0.000218944	0.000594656	-2.053085037	0.002636975	0.004380241
peak.58	chr1	36674801	36675201	401	*	21.57757781	67.223785	4.804396167	8.578284432	1.091972937	0.013433333	0.088168581	-1.803554011	0.040228696	0.050611457	-1.334091134	0.083641842	0.097000069
peak.59	chr1	36680882	36681282	401	*	162.3009114	150.5434058	18.01648563	28.1857917	-0.015880001	0.921639694	0.996084524	-2.827273633	2.52E-05	0.000107256	-2.545454338	6.20E-05	0.000225565
peak.60	chr1	36709941	36710341	401	*	71.29982234	66.27697112	10.80989138	22.05844568	-0.013497376	0.932706341	0.996084524	-2.401878174	0.000737206	0.001590088	-1.750771041	0.005952925	0.008800054
peak.61	chr1	37214204	37214604	401	*	71.29982234	38.8193688	19.21758467	18.38203807	-0.326205472	0.181778468	0.491677	-1.641110441	0.010782732	0.015608926	-1.977393126	0.002035348	0.003516225
peak.62	chr1	37218918	37219318	401	*	62.85642232	63.4365295	8.407693293	18.38203807	0.015458767	0.926172139	0.996084524	-2.54594495	0.000813279	0.001724798	-1.810265798	0.006608348	0.009638521
peak.63	chr1	37541629	37542029	401	*	106.0115779	72.90466824	27.62527796	22.05844568	-0.151813512	0.417820139	0.784270256	-1.696033364	0.006749352	0.01032674	-2.303494609	0.000293319	0.000736444
peak.64	chr1	37997113	37997513	401	*	98.50633349	86.16006246	28.826377	19.60750727	-0.039505597	0.813272021	0.976765635	-1.514217004	0.018558452	0.025286405	-2.337882425	0.000418268	0.000970825
peak.65	chr1	38562189	38562589	401	*	48.78408897	92.78775957	87.68023005	13.48016125	0.408164426	0.145245959	0.428846326	0.983571898	0.128238935	0.145493332	-1.879735295	0.009886275	0.013816895
peak.66	chr1	38584306	38584706	401	*	35.64991117	105.0963399	8.407693293	12.25469205	0.964252827	0.022693457	0.12492837	-1.74538912	0.031397489	0.040442828	-1.459389112	0.052261783	0.062916352
peak.67	chr1	38596114	38596514	401	*	25.33020004	81.42599309	10.80989138	7.352815227	1.181613695	0.009000764	0.066487987	-1.018668006	0.173211408	0.192496277	-1.756684546	0.025123447	0.03210055
peak.68	chr1	39431766	39432166	401	*	75.99060012	63.4365295	12.01099042	13.48016125	-0.057379505	0.716364845	0.954461893	-2.369522277	0.000510257	0.00117711	-2.499710131	0.00016188	0.000462405
peak.69	chr1	39433895	39434295	401	*	162.3009114	107.9367815	24.02198084	30.63673011	-0.179628811	0.328607291	0.694010526	-2.485840482	3.53E-05	0.000138602	-2.451420545	2.45E-05	0.000116917
peak.70	chr1	39444995	39445395	401	*	105.0734224	53.0215769	12.01099042	19.60750727	-0.388603528	0.151693367	0.441518408	-2.761870252	0.000141163	0.000418789	-2.381674422	0.000401219	0.000940439
peak.71	chr1	39446186	39446586	401	*	232.6625781	116.4581064	74.46814059	40.44048375	-0.450806407	0.100417122	0.338929333	-1.408448117	0.013276137	0.018754451	-2.569600507	1.15E-05	6.84E-05
peak.72	chr1	39449852	39450252	401	*	109.7642002	100.3622706	3.603297125	6.127346023	-0.020444435	0.901369967	0.994390693				-3.886267535	1.16E-06	1.60E-05
peak.73	chr1	39451998	39452398	401	*	116.3312891	106.0431538	14.4131885	14.70563045	-0.023737719	0.87978305	0.99042046	-2.69404618	6.88E-05	0.00023409	-2.953355469	1.02E-05	6.35E-05
peak.74	chr1	39474088	39474488	401	*	258.9309337	271.7355816	16.81538659	25.7348533	0.031577286	0.834171924	0.979986861	-3.580153867	4.00E-08	8.94E-07	-3.264959046	9.70E-08	3.89E-06
peak.75	chr1	39476904	39477304	401	*	47.84593341	68.17059887	15.61428754	9.803753636	0.179024919	0.376040174	0.743161204	-1.371530776	0.046685074	0.057882427	-2.273652329	0.001948224	0.003390854
peak.76	chr1	39931989	39932389	401	*	71.29982234	56.80883239	9.608792334	8.578284432	-0.079634796	0.633564833	0.927084842	-2.579951762	0.000342603	0.000848267	-3.005807699	3.97E-05	0.000163844
peak.77	chr1	39963837	39964237	401	*	63.79457788	60.59608788	2.402198084	18.38203807	-0.006658165	0.969023769	0.998372598				-1.858613697	0.006293107	0.009237657
peak.78	chr1	40154788	40155188	401	*	92.87740015	41.65981042	15.61428754	12.25469205	-0.532471899	0.085252479	0.305133736	-2.259982539	0.000907371	0.001891302	-2.875146694	4.08E-05	0.000167006
peak.79	chr1	43095105	43095505	401	*	83.49584458	123.0858035	7.206594251	12.25469205	0.200542552	0.316511935	0.680504121	-3.135316677	4.58E-05	0.000169346	-2.749188033	6.63E-05	0.000237124
peak.80	chr1	43098077	43098477	401	*	50.66040008	67.223785	9.608792334	13.48016125	0.139230994	0.446172241	0.810263294	-2.092265773	0.003737166	0.006234105	-1.946692117	0.003912509	0.006119598
peak.81	chr1	44594000	44594400	401	*	283.3229782	20.82990521	80.4736358	53.920645	-2.855275959	1.49E-07	5.64E-05	-1.550274073	0.013460305	0.018983734	-2.482039197	8.69E-05	0.000290122
peak.82	chr1	44733521	44733921	401	*	145.4141113	48.28750753	25.22307988	25.7348533	-1.000511477	0.016964705	0.104044209	-2.24247132	0.00062199	0.001385771	-2.561446884	8.21E-05	0.000277784
peak.83	chr1	45795211	45795611	401	*	74.11428901	90.89413183	20.41868371	22.05844568	0.096676456	0.610664018	0.915670066	-1.571012155	0.025118146	0.033104774	-1.832636444	0.008081608	0.011527401
peak.84	chr1	45822025	45822425	401	*	32.8354445	60.59608788	19.21758467	15.93109966	0.40886946	0.126483699	0.391804576	-0.587275355	0.363990458	0.385807911	-1.163491923	0.077503382	0.090478895
peak.85	chr1	46153031	46153431	401	*	17.82495558	95.62820119	9.608792334	12.25469205	1.921432647	0.000178857	0.004968573	-0.689447029	0.363805288	0.385653217	-0.629989048	0.381090058	0.403150145
peak.86	chr1	46166660	46167060	401	*	10.31971113	53.0215769	10.80989138	11.02922284	1.784680323	0.00066648	0.011743429	0.190395137	0.804305782	0.815250974	-0.101028562	0.893708336	0.900855071
peak.87	chr1	51478277	51478677	401	*	56.28933342	66.27697112	10.80989138	20.83297648	0.082620302	0.660328868	0.937360808	-2.03865873	0.007110915	0.010805953	-1.504673492	0.029966539	0.0376766
peak.88	chr1	51628106	51628506	401	*	178.2495558	155.2774752	19.21758467	26.9603225	-0.039721603	0.795918458	0.972719736	-2.898341075	6.24E-06	3.59E-05	-2.754281402	7.02E-06	4.92E-05
peak.89	chr1	52150020	52150420	401	*	56.28933342	76.69192373	9.608792334	12.25469205	0.148426052	0.419494657	0.785644619	-2.240404028	0.001824401	0.003393674	-2.231831769	0.001096268	0.002097802
peak.90	chr1	52231862	52232262	401	*	112.5786668	71.95785436	25.22307988	22.05844568	-0.193571554	0.343022172	0.709995641	-1.893416446	0.003339449	0.005658015	-2.373889061	0.000252562	0.000655195
peak.91	chr1	52330545	52330945	401	*	62.85642232	70.06422662	10.80989138	13.48016125	0.05549749	0.727158804	0.956654711	-2.238124283	0.001373947	0.00267763	-2.222759842	0.000850103	0.001702424
peak.92	chr1	52435735	52436135	401	*	127.5891558	64.38334338	10.80989138	29.41126091	-0.414708978	0.124495878	0.389326805	-3.194016501	6.96E-06	3.91E-05	-2.190132363	0.000395345	0.000930275
peak.93	chr1	52634241	52634641	401	*	51.59855564	73.85148211	8.407693293	18.38203807	0.180179791	0.386797944	0.753867863	-2.260208748	0.003670477	0.006139525	-1.566645117	0.023098134	0.029701916
peak.94	chr1	52726159	52726559	401	*	38.46437784	48.28750753	7.206594251	15.93109966	0.109110179	0.54835396	0.881742222	-2.098951056	0.007062532	0.010751498	-1.349602772	0.044579276	0.054373333
peak.95	chr1	53225631	53226031	401	*	121.0220669	41.65981042	16.81538659	25.7348533	-0.972581804	0.017383139	0.105464331	-2.532209301	0.00013336	0.000400242	-2.266839713	0.000291845	0.000734056
peak.96	chr1	53778483	53778883	401	*	114.454978	72.90466824	2.402198084	14.70563045	-0.195324018	0.342399903	0.70933797				-2.936755632	1.89E-05	9.83E-05
peak.97	chr1	54286429	54286829	401	*	91.93924459	40.71299655	146.5340831	20.83297648	-0.537345552	0.085507641	0.305490962	0.815446961	0.172638848	0.191946755	-2.116686594	0.001264352	0.002357991
peak.98	chr1	54438445	54438845	401	*	53.47486675	21.77671908	15.61428754	17.15656886	-0.696492538	0.047601363	0.206447553	-1.535014195	0.018766047	0.025523277	-1.692673077	0.008004598	0.011439129
peak.99	chr1	54859860	54860260	401	*	114.454978	102.2558983	4.804396167	13.48016125	-0.034903428	0.833794892	0.979986861	-4.022070619	2.91E-06	2.02E-05	-3.088818014	1.05E-05	6.45E-05
peak.100	chr1	55002268	55002668	401	*	123.8365335	38.8193688	6.005495209	13.48016125	-1.094005414	0.011799583	0.079850636	-3.865326007	1.92E-06	1.48E-05	-3.144636768	5.34E-06	4.11E-05
peak.101	chr1	55052525	55052925	401	*	65.67088899	67.223785	6.005495209	7.352815227	0.018535636	0.912599929	0.995032204	-3.025290299	0.000224581	0.000607127	-3.071194755	8.37E-05	0.000282377
peak.102	chr1	55501154	55501554	401	*	20.63942225	99.41545668	14.4131885	15.93109966	1.820892956	0.000267316	0.006391816	-0.358588772	0.607673793	0.626339106	-0.526913817	0.439589151	0.461855154
peak.103	chr1	55700801	55701201	401	*	15.94864447	47.34069366	14.4131885	12.25469205	1.052662812	0.014198721	0.091542183	-0.009777255	0.988866079	0.989268548	-0.517216038	0.464986803	0.48687436
peak.104	chr1	55888639	55889039	401	*	558.2025564	469.6196811	45.64176359	83.33190591	-0.053577519	0.739584853	0.961555055	-3.300413129	7.22E-08	1.35E-06	-2.822318701	1.75E-06	2.01E-05
peak.105	chr1	56973276	56973676	401	*	56.28933342	84.26643471	8.407693293	18.38203807	0.21557835	0.304038449	0.663405687	-2.397738954	0.001460923	0.002818642	-1.700082874	0.010155186	0.014146787
peak.106	chr1	58203838	58204238	401	*	32.8354445	76.69192373	9.608792334	17.15656886	0.752926122	0.036024059	0.171696138	-1.51178017	0.037260041	0.047239294	-1.03560347	0.113792906	0.129342411
peak.107	chr1	58394577	58394977	401	*	30.02097783	55.86201852	10.80989138	8.578284432	0.402586176	0.138180097	0.41399686	-1.239072808	0.087919682	0.10303055	-1.84725614	0.013862434	0.018673168
peak.108	chr1	58586214	58586614	401	*	45.03146674	49.23432141	15.61428754	8.578284432	0.042906766	0.792596969	0.97215736	-1.317563656	0.048170171	0.059506109	-2.399270832	0.001088628	0.002086024
peak.109	chr1	58600448	58600848	401	*	34.71175561	97.52182894	7.206594251	23.28391489	1.04238016	0.013184716	0.086884806	-1.956356175	0.012157956	0.01736195	-0.685523567	0.286921417	0.308442092
peak.110	chr1	58602471	58602871	401	*	124.7746891	71.01104049	4.804396167	13.48016125	-0.281516474	0.223238176	0.555531168	-4.124038414	1.30E-06	1.12E-05	-3.102385653	5.80E-06	4.32E-05
peak.111	chr1	58621196	58621596	401	*	36.58806672	120.2453619	15.61428754	15.93109966	1.20041402	0.008736523	0.065123198	-0.992902118	0.168660446	0.187884603	-1.346917487	0.060140027	0.071542256
peak.112	chr1	58713781	58714181	401	*	31.89728894	63.4365295	7.206594251	18.38203807	0.464269616	0.111499936	0.364570518	-1.858988749	0.019165564	0.02601986	-0.862408823	0.200414515	0.219747465
peak.113	chr1	58723048	58723448	401	*	123.8365335	116.4581064	8.407693293	25.7348533	-0.011288854	0.939425699	0.996212141	-3.493039132	1.77E-06	1.40E-05	-2.314536945	0.000134545	0.000403552
peak.114	chr1	58880791	58881191	401	*	69.42351122	234.8098405	12.01099042	24.50938409	1.410030455	0.00221458	0.026296799	-2.222454212	0.001427135	0.002766482	-1.573414477	0.01222236	0.016678729
peak.115	chr1	58961490	58961890	401	*	86.31031125	139.1816394	14.4131885	18.38203807	0.274045965	0.235930566	0.573324103	-2.260887226	0.00129606	0.002548572	-2.260945876	0.000835488	0.001680548
peak.116	chr1	58969959	58970359	401	*	65.67088899	93.73457345	4.804396167	12.25469205	0.1808119	0.379307453	0.745514191	-3.269840005	0.000171609	0.000490187	-2.37621486	0.000934853	0.001843826
peak.117	chr1	58972865	58973265	401	*	59.10380009	98.46864281	16.81538659	20.83297648	0.294902573	0.216376568	0.545557613	-1.565419574	0.023160969	0.030785271	-1.589314721	0.017114842	0.022632566
peak.118	chr1	59117452	59117852	401	*	329.2926005	116.4581064	69.66374442	52.6951758	-1.02751019	0.011493201	0.07844776	-1.990387746	0.000442399	0.001046348	-2.733079118	1.79E-06	2.04E-05
peak.119	chr1	59161469	59161869	401	*	218.5902448	217.7671908	4.804396167	29.41126091	0.010618536	0.944824955	0.996886811	-4.884295969	8.14E-09	2.97E-07	-2.907989327	2.36E-06	2.39E-05
peak.120	chr1	59163483	59163883	401	*	142.5996447	79.53236535	12.01099042	26.9603225	-0.299993708	0.20613821	0.53138464	-3.196909882	6.65E-06	3.78E-05	-2.465610832	0.000110266	0.000346479
peak.121	chr1	59207886	59208286	401	*	204.5179114	34.08529943	16.81538659	15.93109966	-2.005433953	8.63E-05	0.003069791	-3.247651259	1.43E-06	1.20E-05	-3.62137529	7.89E-08	3.43E-06
peak.122	chr1	59425196	59425596	401	*	78.80506679	128.7666868	24.02198084	14.70563045	0.283002554	0.226908603	0.560542113	-1.463335069	0.027283378	0.035614734	-2.426412586	0.000489087	0.001094808
peak.123	chr1	59684705	59685105	401	*	70.36166678	56.80883239	21.61978275	23.28391489	-0.06922806	0.683436704	0.943801515	-1.45872467	0.024449604	0.032323317	-1.69475927	0.008037531	0.011473512
peak.124	chr1	60097816	60098216	401	*	100.3826446	88.05369021	16.81538659	19.60750727	-0.034504011	0.844683376	0.981851783	-2.246519143	0.001465265	0.002824658	-2.355865084	0.00061872	0.001318719
peak.125	chr1	60100099	60100499	401	*	38.46437784	112.6708509	14.4131885	15.93109966	1.073730255	0.01264364	0.084399085	-1.168704789	0.097584629	0.113370208	-1.379532031	0.046254639	0.056249302
peak.126	chr1	60129948	60130348	401	*	9.38155557	80.47917922	12.01099042	12.25469205	2.362398864	1.60E-05	0.000977717	0.448046712	0.564785952	0.584339207	0.188648271	0.804628894	0.817263563
peak.127	chr1	60273851	60274251	401	*	130.4036224	100.3622706	12.01099042	17.15656886	-0.094905918	0.569284108	0.89241093	-3.096945194	7.08E-06	3.96E-05	-2.94800851	5.64E-06	4.26E-05
peak.128	chr1	60569724	60570124	401	*	146.3522669	109.8304093	15.61428754	12.25469205	-0.102575876	0.561901102	0.888507896	-2.898870293	2.33E-05	0.000101021	-3.476335757	7.57E-07	1.27E-05
peak.129	chr1	61140183	61140583	401	*	25.33020004	69.11741274	3.603297125	7.352815227	0.966105708	0.018167555	0.107474971				-1.792402933	0.0197541	0.025717997
peak.130	chr1	61229116	61229516	401	*	60.04195565	118.3517341	7.206594251	17.15656886	0.480833246	0.098846575	0.336283571	-2.692885619	0.000589176	0.001328009	-1.821070882	0.006455532	0.009445059
peak.131	chr1	61265804	61266204	401	*	121.0220669	70.06422662	148.9362812	26.9603225	-0.267646401	0.234720888	0.571656124	0.461961769	0.425292573	0.446786684	-2.189064739	0.000473827	0.001068568
peak.132	chr1	61298829	61299229	401	*	112.5786668	52.07476303	56.45165496	18.38203807	-0.460385052	0.123353332	0.387382372	-0.786572302	0.235805796	0.25652164	-2.639336163	0.000206087	0.000557888
peak.133	chr1	61331930	61332330	401	*	51.59855564	86.16006246	12.01099042	7.352815227	0.311660811	0.184785067	0.495718084	-1.830301616	0.007979225	0.011955462	-2.711054302	0.000293288	0.000736444
peak.134	chr1	62370348	62370748	401	*	17.82495558	17.04264972	100.8923195	14.70563045	-0.010882993	0.954967812	0.997926674	2.520088377	7.28E-05	0.000245544	-0.491436757	0.491658308	0.513107365
peak.135	chr1	62984663	62985063	401	*	105.0734224	150.5434058	4.804396167	23.28391489	0.187552845	0.336459731	0.702350758	-3.908388669	3.67E-06	2.41E-05	-2.229031101	0.000410021	0.000954387
