peak.id	seqnames	start	end	strand	annot
peak.67	chr1	38596114	38596514	*	intron
peak.68	chr1	39431766	39432166	*	intron
peak.69	chr1	39433895	39434295	*	intron
peak.70	chr1	39444995	39445395	*	intron
peak.71	chr1	39446186	39446586	*	intron
peak.72	chr1	39449852	39450252	*	intron
peak.73	chr1	39451998	39452398	*	intron
peak.74	chr1	39474088	39474488	*	intron
peak.75	chr1	39476904	39477304	*	intron
peak.76	chr1	39931989	39932389	*	intron
peak.77	chr1	39963837	39964237	*	intron
peak.78	chr1	40154788	40155188	*	intergenic
peak.79	chr1	43095105	43095505	*	intron
peak.80	chr1	43098077	43098477	*	promoter-tss
peak.81	chr1	44594000	44594400	*	intron
peak.82	chr1	44733521	44733921	*	intron
peak.83	chr1	45795211	45795611	*	promoter-tss
peak.84	chr1	45822025	45822425	*	intron
peak.85	chr1	46153031	46153431	*	intron
peak.86	chr1	46166660	46167060	*	intron
peak.87	chr1	51478277	51478677	*	promoter-tss
peak.88	chr1	51628106	51628506	*	intergenic
peak.89	chr1	52150020	52150420	*	intron
peak.90	chr1	52231862	52232262	*	intron
peak.91	chr1	52330545	52330945	*	intergenic
peak.92	chr1	52435735	52436135	*	intergenic
peak.93	chr1	52634241	52634641	*	intron
peak.94	chr1	52726159	52726559	*	intron
peak.95	chr1	53225631	53226031	*	intron
peak.96	chr1	53778483	53778883	*	intron
peak.97	chr1	54286429	54286829	*	intron
peak.98	chr1	54438445	54438845	*	intron
peak.99	chr1	54859860	54860260	*	intron
peak.100	chr1	55002268	55002668	*	intron
peak.101	chr1	55052525	55052925	*	promoter-tss
peak.102	chr1	55501154	55501554	*	intron
peak.103	chr1	55700801	55701201	*	intron
peak.104	chr1	55888639	55889039	*	intergenic
peak.105	chr1	56973276	56973676	*	non-coding
peak.106	chr1	58203838	58204238	*	intergenic
peak.107	chr1	58394577	58394977	*	intron
peak.108	chr1	58586214	58586614	*	promoter-tss
peak.109	chr1	58600448	58600848	*	intergenic
peak.110	chr1	58602471	58602871	*	intergenic
peak.111	chr1	58621196	58621596	*	intergenic
peak.112	chr1	58713781	58714181	*	intron
peak.113	chr1	58723048	58723448	*	intron
peak.114	chr1	58880791	58881191	*	intergenic
peak.115	chr1	58961490	58961890	*	intron
peak.116	chr1	58969959	58970359	*	intron
peak.117	chr1	58972865	58973265	*	promoter-tss
peak.118	chr1	59117452	59117852	*	intron
peak.119	chr1	59161469	59161869	*	promoter-tss
peak.120	chr1	59163483	59163883	*	promoter-tss
peak.121	chr1	59207886	59208286	*	intron
peak.122	chr1	59425196	59425596	*	intergenic
peak.123	chr1	59684705	59685105	*	promoter-tss
peak.124	chr1	60097816	60098216	*	promoter-tss
peak.125	chr1	60100099	60100499	*	intron
peak.126	chr1	60129948	60130348	*	intron
peak.127	chr1	60273851	60274251	*	intron
peak.128	chr1	60569724	60570124	*	intergenic
peak.129	chr1	61140183	61140583	*	intergenic
peak.130	chr1	61229116	61229516	*	intergenic
peak.131	chr1	61265804	61266204	*	intergenic
peak.132	chr1	61298829	61299229	*	intergenic
peak.133	chr1	61331930	61332330	*	intergenic
peak.134	chr1	62370348	62370748	*	intron
peak.135	chr1	62984663	62985063	*	intergenic
peak.136	chr1	63088868	63089268	*	intron
peak.137	chr1	63294031	63294431	*	intron
peak.138	chr1	64078805	64079205	*	exon
peak.139	chr1	64298825	64299225	*	intergenic
peak.140	chr1	64547391	64547791	*	intron
peak.141	chr1	64568115	64568515	*	intron
peak.142	chr1	64570621	64571021	*	intron
peak.143	chr1	64690472	64690872	*	promoter-tss
peak.144	chr1	64804178	64804578	*	intron
peak.145	chr1	65035354	65035754	*	intergenic
peak.146	chr1	65111261	65111661	*	intron
peak.147	chr1	65178761	65179161	*	intron
peak.148	chr1	65179918	65180318	*	promoter-tss
peak.149	chr1	65186296	65186696	*	promoter-tss
peak.150	chr1	65394388	65394788	*	intergenic
peak.151	chr1	66115350	66115750	*	intergenic
peak.152	chr1	66321486	66321886	*	promoter-tss
peak.153	chr1	66339695	66340095	*	intron
peak.154	chr1	66364370	66364770	*	intron
peak.155	chr1	66402636	66403036	*	intron
peak.156	chr1	66633463	66633863	*	intron
peak.157	chr1	66686387	66686787	*	intron
peak.158	chr1	66782409	66782809	*	intron
peak.159	chr1	66831216	66831616	*	3' utr
peak.160	chr1	69296796	69297196	*	intergenic
peak.161	chr1	69686884	69687284	*	intergenic
peak.162	chr1	71641458	71641858	*	intron
peak.163	chr1	71945662	71946062	*	intergenic
peak.164	chr1	72136099	72136499	*	intergenic
peak.165	chr1	72182521	72182921	*	intron
peak.166	chr1	72391579	72391979	*	intron
peak.167	chr1	72454717	72455117	*	intron
peak.168	chr1	72489968	72490368	*	intron
peak.169	chr1	72504551	72504951	*	intron
peak.170	chr1	72583008	72583408	*	promoter-tss
peak.171	chr1	72748529	72748929	*	intergenic
peak.172	chr1	72764275	72764675	*	intergenic
peak.173	chr1	73169406	73169806	*	intergenic
peak.174	chr1	73826185	73826585	*	intron
peak.175	chr1	74284660	74285060	*	promoter-tss
peak.176	chr1	74295404	74295804	*	intron
peak.177	chr1	74386842	74387242	*	tts
peak.178	chr1	74437711	74438111	*	3' utr
peak.179	chr1	74587996	74588396	*	promoter-tss
peak.180	chr1	74706059	74706459	*	intergenic
peak.181	chr1	74773060	74773460	*	intron
peak.182	chr1	74816776	74817176	*	intergenic
peak.183	chr1	74848625	74849025	*	intergenic
peak.184	chr1	74850986	74851386	*	intergenic
peak.185	chr1	74858889	74859289	*	intergenic
peak.186	chr1	74875365	74875765	*	intergenic
peak.187	chr1	75126859	75127259	*	intron
peak.188	chr1	75239821	75240221	*	intron
peak.189	chr1	75317622	75318022	*	promoter-tss
peak.190	chr1	75405543	75405943	*	intron
peak.191	chr1	75463760	75464160	*	intron
peak.192	chr1	75521259	75521659	*	promoter-tss
peak.193	chr1	75909359	75909759	*	intergenic
peak.194	chr1	76104318	76104718	*	intergenic
peak.195	chr1	76118812	76119212	*	intergenic
peak.196	chr1	76166507	76166907	*	intergenic
peak.197	chr1	76453197	76453597	*	intergenic
peak.198	chr1	76849409	76849809	*	intergenic
peak.199	chr1	77082898	77083298	*	intergenic
peak.200	chr1	77101881	77102281	*	intergenic
peak.201	chr1	77380163	77380563	*	intron
peak.202	chr1	77456693	77457093	*	intron
peak.203	chr1	77506265	77506665	*	intron
peak.204	chr1	77532248	77532648	*	intergenic
peak.205	chr1	77660462	77660862	*	intergenic
peak.206	chr1	77662758	77663158	*	intergenic
peak.207	chr1	77673357	77673757	*	intergenic
peak.208	chr1	78284061	78284461	*	intergenic
peak.209	chr1	78488926	78489326	*	promoter-tss
peak.210	chr1	78567427	78567827	*	intergenic
peak.211	chr1	78655575	78655975	*	intergenic
peak.212	chr1	79379584	79379984	*	intergenic
peak.213	chr1	80208782	80209182	*	intron
peak.214	chr1	80256670	80257070	*	intergenic
peak.215	chr1	80404003	80404403	*	intergenic
peak.216	chr1	80413695	80414095	*	intergenic
peak.217	chr1	80424651	80425051	*	intergenic
peak.218	chr1	80427504	80427904	*	intergenic
peak.219	chr1	81163664	81164064	*	intron
peak.220	chr1	81327622	81328022	*	intergenic
peak.221	chr1	82066204	82066604	*	intergenic
peak.222	chr1	82191650	82192050	*	intergenic
peak.223	chr1	82746448	82746848	*	intron
peak.224	chr1	83345077	83345477	*	intron
peak.225	chr1	83347972	83348372	*	intron
peak.226	chr1	83397524	83397924	*	intron
peak.227	chr1	83662109	83662509	*	intergenic
peak.228	chr1	84286507	84286907	*	intergenic
peak.229	chr1	84387510	84387910	*	intron
peak.230	chr1	84416083	84416483	*	intron
peak.231	chr1	84549729	84550129	*	intron
peak.232	chr1	84838074	84838474	*	intron
peak.233	chr1	84840022	84840422	*	promoter-tss
peak.234	chr1	84849948	84850348	*	intron
peak.235	chr1	86064163	86064563	*	promoter-tss
peak.236	chr1	86070087	86070487	*	intron
peak.237	chr1	86141087	86141487	*	intergenic
peak.238	chr1	86156596	86156996	*	intron
peak.239	chr1	86359277	86359677	*	promoter-tss
peak.240	chr1	86487312	86487712	*	intergenic
peak.241	chr1	86525197	86525597	*	intergenic
peak.242	chr1	86526350	86526750	*	promoter-tss
peak.243	chr1	86535695	86536095	*	intergenic
peak.244	chr1	86551832	86552232	*	intron
peak.245	chr1	86561787	86562187	*	intron
peak.246	chr1	86576742	86577142	*	intron
peak.247	chr1	87432877	87433277	*	intron
peak.248	chr1	87574283	87574683	*	promoter-tss
peak.249	chr1	87583074	87583474	*	promoter-tss
peak.250	chr1	87585896	87586296	*	intron
peak.251	chr1	87710875	87711275	*	exon
peak.252	chr1	88968976	88969376	*	intergenic
peak.253	chr1	89069878	89070278	*	promoter-tss
peak.254	chr1	89332336	89332736	*	intergenic
peak.255	chr1	89464939	89465339	*	intron
peak.256	chr1	89504144	89504544	*	intron
peak.257	chr1	89576625	89577025	*	intron
peak.258	chr1	89750943	89751343	*	intron
peak.259	chr1	89885709	89886109	*	intron
peak.260	chr1	89893325	89893725	*	3' utr
peak.261	chr1	89898330	89898730	*	intergenic
peak.262	chr1	89918217	89918617	*	intergenic
peak.263	chr1	89922818	89923218	*	intergenic
peak.264	chr1	90015585	90015985	*	intergenic
peak.265	chr1	90353161	90353561	*	intergenic
peak.266	chr1	90733916	90734316	*	intergenic
peak.267	chr1	91404337	91404737	*	tts
peak.268	chr1	91540326	91540726	*	promoter-tss
peak.269	chr1	92174454	92174854	*	intron
peak.270	chr1	92180355	92180755	*	promoter-tss
peak.271	chr1	92641877	92642277	*	promoter-tss
peak.272	chr1	92906490	92906890	*	promoter-tss
peak.273	chr1	93300220	93300620	*	tts
peak.274	chr1	93333673	93334073	*	intron
peak.275	chr1	93478290	93478690	*	promoter-tss
peak.276	chr1	93523031	93523431	*	intron
peak.277	chr1	93620844	93621244	*	3' utr
peak.278	chr1	93634615	93635015	*	intron
peak.279	chr1	93635598	93635998	*	promoter-tss
peak.280	chr1	93669951	93670351	*	intergenic
peak.281	chr1	93731831	93732231	*	promoter-tss
peak.282	chr1	93760153	93760553	*	intron
peak.283	chr1	94089150	94089550	*	intergenic
peak.284	chr1	97638194	97638594	*	intergenic
peak.285	chr1	97644428	97644828	*	3' utr
peak.286	chr1	104763353	104763753	*	intergenic
peak.287	chr1	104956989	104957389	*	intron
peak.288	chr1	105679336	105679736	*	intron
peak.289	chr1	106008148	106008548	*	intron
peak.290	chr1	106663378	106663778	*	intron
peak.291	chr1	106696416	106696816	*	intron
peak.292	chr1	106745089	106745489	*	intron
peak.293	chr1	106774820	106775220	*	intron
peak.294	chr1	118321525	118321925	*	promoter-tss
peak.295	chr1	118389149	118389549	*	5' utr
peak.296	chr1	118459029	118459429	*	promoter-tss
peak.297	chr1	118482437	118482837	*	intron
peak.298	chr1	119621476	119621876	*	intron
peak.299	chr1	119646333	119646733	*	intron
peak.300	chr1	119648843	119649243	*	promoter-tss
peak.301	chr1	119761493	119761893	*	intron
peak.302	chr1	119762592	119762992	*	intron
peak.303	chr1	119837486	119837886	*	promoter-tss
peak.304	chr1	120247458	120247858	*	intron
peak.305	chr1	120961847	120962247	*	intergenic
peak.306	chr1	125100590	125100990	*	intergenic
peak.307	chr1	125337369	125337769	*	intergenic
peak.308	chr1	126155770	126156170	*	intron
peak.309	chr1	126431021	126431421	*	intron
peak.310	chr1	126677849	126678249	*	intron
peak.311	chr1	126681708	126682108	*	intron
peak.312	chr1	126765340	126765740	*	intron
peak.313	chr1	127015215	127015615	*	intergenic
peak.314	chr1	127854213	127854613	*	intergenic
peak.315	chr1	128102619	128103019	*	promoter-tss
peak.316	chr1	128160204	128160604	*	intron
peak.317	chr1	128243940	128244340	*	promoter-tss
peak.318	chr1	128621917	128622317	*	intergenic
peak.319	chr1	128907687	128908087	*	intergenic
peak.320	chr1	128990704	128991104	*	intergenic
peak.321	chr1	129538492	129538892	*	intron
peak.322	chr1	129779364	129779764	*	intron
peak.323	chr1	130701916	130702316	*	intron
peak.324	chr1	130712302	130712702	*	intron
peak.325	chr1	130715751	130716151	*	promoter-tss
peak.326	chr1	130798725	130799125	*	intergenic
peak.327	chr1	131031489	131031889	*	intergenic
peak.328	chr1	131078687	131079087	*	intron
peak.329	chr1	131115923	131116323	*	intergenic
peak.330	chr1	131185252	131185652	*	intron
peak.331	chr1	131417766	131418166	*	intron
peak.332	chr1	131527526	131527926	*	promoter-tss
peak.333	chr1	131910181	131910581	*	promoter-tss
peak.334	chr1	132009010	132009410	*	intron
peak.335	chr1	132292774	132293174	*	intergenic
peak.336	chr1	132302109	132302509	*	intron
peak.337	chr1	132366907	132367307	*	intron
peak.338	chr1	132414008	132414408	*	intergenic
peak.339	chr1	132477104	132477504	*	promoter-tss
peak.340	chr1	132581952	132582352	*	intron
peak.341	chr1	132601028	132601428	*	intron
peak.342	chr1	132721272	132721672	*	intron
peak.343	chr1	132820109	132820509	*	intergenic
peak.344	chr1	132876550	132876950	*	intergenic
peak.345	chr1	133042525	133042925	*	intergenic
peak.346	chr1	133181072	133181472	*	intergenic
peak.347	chr1	133238851	133239251	*	intergenic
peak.348	chr1	133616964	133617364	*	intergenic
peak.349	chr1	133648028	133648428	*	intron
peak.350	chr1	133661223	133661623	*	promoter-tss
peak.351	chr1	133715516	133715916	*	intron
peak.352	chr1	134060887	134061287	*	intergenic
peak.353	chr1	134062636	134063036	*	intergenic
peak.354	chr1	134063495	134063895	*	intergenic
peak.355	chr1	134066889	134067289	*	intergenic
peak.356	chr1	134086851	134087251	*	intergenic
peak.357	chr1	134167498	134167898	*	intergenic
peak.358	chr1	134179075	134179475	*	intergenic
peak.359	chr1	134272844	134273244	*	intergenic
peak.360	chr1	134413170	134413570	*	intergenic
peak.361	chr1	134420950	134421350	*	intron
peak.362	chr1	134439563	134439963	*	intergenic
peak.363	chr1	134503008	134503408	*	intron
peak.364	chr1	134558481	134558881	*	intergenic
peak.365	chr1	134567510	134567910	*	intron
peak.366	chr1	134777980	134778380	*	intron
peak.367	chr1	134796449	134796849	*	intron
peak.368	chr1	134799825	134800225	*	intron
peak.369	chr1	134860502	134860902	*	intron
peak.370	chr1	134865473	134865873	*	intron
peak.371	chr1	134955926	134956326	*	promoter-tss
peak.372	chr1	135076051	135076451	*	intron
peak.373	chr1	135106001	135106401	*	promoter-tss
peak.374	chr1	135210264	135210664	*	intergenic
peak.375	chr1	135330574	135330974	*	intron
peak.376	chr1	135373230	135373630	*	intron
peak.377	chr1	135524424	135524824	*	intron
peak.378	chr1	135595227	135595627	*	intergenic
peak.379	chr1	135615703	135616103	*	intergenic
peak.380	chr1	135627750	135628150	*	intergenic
peak.381	chr1	136007156	136007556	*	promoter-tss
peak.382	chr1	136017661	136018061	*	promoter-tss
peak.383	chr1	136032925	136033325	*	intron
peak.384	chr1	136128978	136129378	*	intron
peak.385	chr1	136132707	136133107	*	intron
peak.386	chr1	136140183	136140583	*	intron
peak.387	chr1	136193564	136193964	*	intergenic
peak.388	chr1	136237838	136238238	*	intergenic
peak.389	chr1	136279300	136279700	*	intron
peak.390	chr1	136354655	136355055	*	intergenic
peak.391	chr1	136417513	136417913	*	intron
peak.392	chr1	136463429	136463829	*	intergenic
peak.393	chr1	136524845	136525245	*	intron
peak.394	chr1	136563135	136563535	*	intergenic
peak.395	chr1	136643505	136643905	*	intergenic
peak.396	chr1	137225516	137225916	*	intergenic
peak.397	chr1	137657231	137657631	*	intergenic
peak.398	chr1	137926325	137926725	*	intergenic
peak.399	chr1	137972903	137973303	*	intergenic
peak.400	chr1	138593978	138594378	*	intron
peak.401	chr1	138622426	138622826	*	intergenic
peak.402	chr1	138662418	138662818	*	intron
peak.403	chr1	139079456	139079856	*	intron
peak.404	chr1	139254649	139255049	*	intron
peak.405	chr1	139255558	139255958	*	intron
peak.406	chr1	143739164	143739564	*	promoter-tss
peak.407	chr1	143766664	143767064	*	intron
peak.408	chr1	149896560	149896960	*	intron
peak.409	chr1	150312767	150313167	*	intergenic
peak.410	chr1	150314399	150314799	*	intergenic
peak.411	chr1	150319173	150319573	*	promoter-tss
peak.412	chr1	150322187	150322587	*	intron
peak.413	chr1	150329545	150329945	*	intron
peak.414	chr1	150392930	150393330	*	promoter-tss
peak.415	chr1	150432354	150432754	*	exon
peak.416	chr1	151347140	151347540	*	intron
peak.417	chr1	151357426	151357826	*	tts
peak.418	chr1	151428294	151428694	*	promoter-tss
peak.419	chr1	151754971	151755371	*	promoter-tss
peak.420	chr1	151919178	151919578	*	intron
peak.421	chr1	152290361	152290761	*	intergenic
peak.422	chr1	152428105	152428505	*	intron
peak.423	chr1	152583024	152583424	*	intron
peak.424	chr1	153043007	153043407	*	intron
peak.425	chr1	153266801	153267201	*	intron
peak.426	chr1	153487600	153488000	*	promoter-tss
peak.427	chr1	153685394	153685794	*	intron
peak.428	chr1	154574075	154574475	*	intron
peak.429	chr1	154757644	154758044	*	intergenic
peak.430	chr1	155111617	155112017	*	intergenic
peak.431	chr1	155191501	155191901	*	intron
peak.432	chr1	155201404	155201804	*	intron
peak.433	chr1	155232445	155232845	*	intergenic
peak.434	chr1	155235651	155236051	*	intergenic
peak.435	chr1	155236632	155237032	*	intergenic
peak.436	chr1	155252788	155253188	*	intergenic
peak.437	chr1	155461823	155462223	*	intergenic
peak.438	chr1	155468059	155468459	*	intergenic
peak.439	chr1	155564628	155565028	*	intron
peak.440	chr1	155650519	155650919	*	intron
peak.441	chr1	155680748	155681148	*	intron
peak.442	chr1	155777595	155777995	*	tts
peak.443	chr1	155973511	155973911	*	promoter-tss
peak.444	chr1	155989364	155989764	*	intergenic
peak.445	chr1	156036047	156036447	*	5' utr
peak.446	chr1	156288819	156289219	*	intron
peak.447	chr1	156302771	156303171	*	intron
peak.448	chr1	156834822	156835222	*	intron
peak.449	chr1	156927082	156927482	*	intron
peak.450	chr1	156996999	156997399	*	intergenic
peak.451	chr1	157181048	157181448	*	intron
peak.452	chr1	157380815	157381215	*	intron
peak.453	chr1	157449770	157450170	*	intergenic
peak.454	chr1	157595130	157595530	*	intergenic
peak.455	chr1	158546495	158546895	*	intron
peak.456	chr1	160194976	160195376	*	promoter-tss
peak.457	chr1	160287230	160287630	*	intron
peak.458	chr1	160521834	160522234	*	intron
peak.459	chr1	160713951	160714351	*	intron
peak.460	chr1	161034864	161035264	*	promoter-tss
peak.461	chr1	161070616	161071016	*	promoter-tss
peak.462	chr1	161260660	161261060	*	intergenic
peak.463	chr1	161877003	161877403	*	promoter-tss
peak.464	chr1	161885855	161886255	*	intergenic
peak.465	chr1	161968885	161969285	*	promoter-tss
peak.466	chr1	162215961	162216361	*	intron
peak.467	chr1	162460337	162460737	*	intron
peak.468	chr1	162554161	162554561	*	intergenic
peak.469	chr1	162615515	162615915	*	intergenic
peak.470	chr1	162839815	162840215	*	intron
peak.471	chr1	163403520	163403920	*	promoter-tss
peak.472	chr1	163957019	163957419	*	intron
peak.473	chr1	164238246	164238646	*	intergenic
peak.474	chr1	164307254	164307654	*	promoter-tss
peak.475	chr1	165099623	165100023	*	intergenic
peak.476	chr1	165454304	165454704	*	intron
peak.477	chr1	165460892	165461292	*	promoter-tss
peak.478	chr1	165935379	165935779	*	promoter-tss
peak.479	chr1	165997457	165997857	*	intron
peak.480	chr1	166801084	166801484	*	intergenic
peak.481	chr1	166843264	166843664	*	intergenic
peak.482	chr1	167008631	167009031	*	intron
peak.483	chr1	167046502	167046902	*	intron
peak.484	chr1	167298170	167298570	*	intergenic
peak.485	chr1	167350001	167350401	*	5' utr
peak.486	chr1	167385694	167386094	*	intron
peak.487	chr1	167389811	167390211	*	intron
peak.488	chr1	167438227	167438627	*	intergenic
peak.489	chr1	167816924	167817324	*	intron
peak.490	chr1	168226156	168226556	*	intron
peak.491	chr1	168323421	168323821	*	intron
peak.492	chr1	168350699	168351099	*	intron
peak.493	chr1	168487452	168487852	*	intergenic
peak.494	chr1	168908673	168909073	*	intergenic
peak.495	chr1	169847931	169848331	*	intergenic
peak.496	chr1	170175735	170176135	*	promoter-tss
peak.497	chr1	170210627	170211027	*	intron
peak.498	chr1	170211634	170212034	*	intron
peak.499	chr1	170214231	170214631	*	intron
peak.500	chr1	170248656	170249056	*	intron
peak.501	chr1	170343035	170343435	*	intron
peak.502	chr1	170380626	170381026	*	intron
peak.503	chr1	170477626	170478026	*	intron
peak.504	chr1	170867668	170868068	*	promoter-tss
peak.505	chr1	171129201	171129601	*	3' utr
peak.506	chr1	171200979	171201379	*	intergenic
peak.507	chr1	171222449	171222849	*	promoter-tss
peak.508	chr1	171232714	171233114	*	intron
peak.509	chr1	171235831	171236231	*	intron
peak.510	chr1	171237437	171237837	*	intron
peak.511	chr1	171247035	171247435	*	promoter-tss
peak.512	chr1	171329023	171329423	*	promoter-tss
peak.513	chr1	171411017	171411417	*	promoter-tss
peak.514	chr1	171419517	171419917	*	tts
peak.515	chr1	172145198	172145598	*	intergenic
peak.516	chr1	172202568	172202968	*	intron
peak.517	chr1	172204423	172204823	*	intron
peak.518	chr1	172216880	172217280	*	intron
peak.519	chr1	172488839	172489239	*	intron
peak.520	chr1	172683569	172683969	*	intergenic
peak.521	chr1	172741905	172742305	*	intergenic
peak.522	chr1	173295660	173296060	*	intergenic
peak.523	chr1	173359675	173360075	*	intron
peak.524	chr1	173369472	173369872	*	intergenic
peak.525	chr1	174994932	174995332	*	intergenic
peak.526	chr1	175272957	175273357	*	intron
peak.527	chr1	175301126	175301526	*	intron
peak.528	chr1	175692752	175693152	*	promoter-tss
peak.529	chr1	175988209	175988609	*	intron
peak.530	chr1	176043057	176043457	*	intron
peak.531	chr1	176085954	176086354	*	intron
peak.532	chr1	176118532	176118932	*	intron
peak.533	chr1	176814531	176814931	*	promoter-tss
peak.534	chr1	176845386	176845786	*	intron
peak.535	chr1	176870488	176870888	*	intron
peak.536	chr1	176981533	176981933	*	intron
peak.537	chr1	177299516	177299916	*	intergenic
peak.538	chr1	177322819	177323219	*	intergenic
peak.539	chr1	177445453	177445853	*	promoter-tss
peak.540	chr1	177693737	177694137	*	intergenic
peak.541	chr1	177983012	177983412	*	intergenic
peak.542	chr1	178187205	178187605	*	promoter-tss
peak.543	chr1	178334406	178334806	*	intron
peak.544	chr1	178369373	178369773	*	intergenic
peak.545	chr1	178401770	178402170	*	intergenic
peak.546	chr1	178824864	178825264	*	intron
peak.547	chr1	179604468	179604868	*	intron
peak.548	chr1	179612551	179612951	*	intron
peak.549	chr1	179803732	179804132	*	promoter-tss
peak.550	chr1	180195904	180196304	*	promoter-tss
peak.551	chr1	180329327	180329727	*	promoter-tss
peak.552	chr1	180388184	180388584	*	intron
peak.553	chr1	180438570	180438970	*	intron
peak.554	chr1	180520687	180521087	*	intergenic
peak.555	chr1	180604555	180604955	*	intergenic
peak.556	chr1	180784762	180785162	*	intergenic
peak.557	chr1	180815667	180816067	*	intergenic
peak.558	chr1	180841893	180842293	*	intergenic
peak.559	chr1	180850489	180850889	*	promoter-tss
peak.560	chr1	180863615	180864015	*	intron
peak.561	chr1	181206717	181207117	*	intron
peak.562	chr1	181980402	181980802	*	intron
peak.563	chr1	181985884	181986284	*	intron
peak.564	chr1	181987243	181987643	*	intron
peak.565	chr1	182413667	182414067	*	intron
peak.566	chr1	183149582	183149982	*	intron
peak.567	chr1	183271294	183271694	*	intergenic
peak.568	chr1	183272780	183273180	*	intergenic
peak.569	chr1	183931673	183932073	*	intergenic
peak.570	chr1	185336046	185336446	*	intron
peak.571	chr1	186251419	186251819	*	intergenic
peak.572	chr1	186757144	186757544	*	intergenic
peak.573	chr1	187436801	187437201	*	intergenic
peak.574	chr1	187449200	187449600	*	intergenic
peak.575	chr1	187758027	187758427	*	intron
peak.576	chr1	187964810	187965210	*	intron
peak.577	chr1	187997633	187998033	*	promoter-tss
peak.578	chr1	188030072	188030472	*	intron
peak.579	chr1	188105242	188105642	*	intron
peak.580	chr1	188164151	188164551	*	intron
peak.581	chr1	188186790	188187190	*	intron
peak.582	chr1	188262224	188262624	*	promoter-tss
peak.583	chr1	188529711	188530111	*	intron
peak.584	chr1	188595095	188595495	*	intron
peak.585	chr1	189628957	189629357	*	intergenic
peak.586	chr1	189688064	189688464	*	promoter-tss
peak.587	chr1	189719286	189719686	*	intergenic
peak.588	chr1	189767405	189767805	*	intron
peak.589	chr1	190270809	190271209	*	intergenic
peak.590	chr1	190452438	190452838	*	intergenic
peak.591	chr1	190563018	190563418	*	intergenic
peak.592	chr1	190749528	190749928	*	intergenic
peak.593	chr1	191035541	191035941	*	intergenic
peak.594	chr1	191068825	191069225	*	intron
peak.595	chr1	191575444	191575844	*	promoter-tss
peak.596	chr1	191726259	191726659	*	intron
